time            Br              Bs              Yi              Yj             
2.535070140e+03 8.173599728e+00 3.695050427e+00 2.223835839e-02 4.447671677e-08
2.545090180e+03 8.173759867e+00 3.695388313e+00 2.172919578e-02 4.345839156e-08
2.555110220e+03 8.173916353e+00 3.695718470e+00 2.123167312e-02 4.246334624e-08
2.565130261e+03 8.174069269e+00 3.696041073e+00 2.074552508e-02 4.149105016e-08
2.575150301e+03 8.174218696e+00 3.696356295e+00 2.027049344e-02 4.054098689e-08
2.585170341e+03 8.174364713e+00 3.696664304e+00 1.980632400e-02 3.961264799e-08
2.595190381e+03 8.174507397e+00 3.696965265e+00 1.935276876e-02 3.870553752e-08
2.605210421e+03 8.174646826e+00 3.697259340e+00 1.890958518e-02 3.781917035e-08
2.615230461e+03 8.174783072e+00 3.697546686e+00 1.847653687e-02 3.695307375e-08
2.625250501e+03 8.174916207e+00 3.697827455e+00 1.805339441e-02 3.610678882e-08
2.635270541e+03 8.175046302e+00 3.698101798e+00 1.763993038e-02 3.527986077e-08
2.645290581e+03 8.175173427e+00 3.698369863e+00 1.723592363e-02 3.447184726e-08
2.655310621e+03 8.175297650e+00 3.698631793e+00 1.684115786e-02 3.368231571e-08
2.665330661e+03 8.175419035e+00 3.698887728e+00 1.645542272e-02 3.291084544e-08
2.675350701e+03 8.175537648e+00 3.699137804e+00 1.607851323e-02 3.215702645e-08
2.685370741e+03 8.175653552e+00 3.699382156e+00 1.571022690e-02 3.142045379e-08
2.695390782e+03 8.175766808e+00 3.699620914e+00 1.535036670e-02 3.070073339e-08
2.705410822e+03 8.175877477e+00 3.699854207e+00 1.499873998e-02 2.999747997e-08
2.715430862e+03 8.175985617e+00 3.700082160e+00 1.465515939e-02 2.931031879e-08
2.725450902e+03 8.176091286e+00 3.700304893e+00 1.431944155e-02 2.863888311e-08
2.735470942e+03 8.176194541e+00 3.700522527e+00 1.399140644e-02 2.798281289e-08
2.745490982e+03 8.176295435e+00 3.700735178e+00 1.367087850e-02 2.734175699e-08
2.755511022e+03 8.176394024e+00 3.700942960e+00 1.335768607e-02 2.671537213e-08
2.765531062e+03 8.176490360e+00 3.701145984e+00 1.305166226e-02 2.610332451e-08
2.775551102e+03 8.176584493e+00 3.701344360e+00 1.275264328e-02 2.550528656e-08
2.785571142e+03 8.176676474e+00 3.701538192e+00 1.246046882e-02 2.492093763e-08
2.795591182e+03 8.176766353e+00 3.701727586e+00 1.217498233e-02 2.434996466e-08
2.805611222e+03 8.176854177e+00 3.701912644e+00 1.189603075e-02 2.379206150e-08
2.815631263e+03 8.176939992e+00 3.702093462e+00 1.162346575e-02 2.324693150e-08
2.825651303e+03 8.177023845e+00 3.702270140e+00 1.135714096e-02 2.271428192e-08
2.835671343e+03 8.177105781e+00 3.702442771e+00 1.109691351e-02 2.219382702e-08
2.845691383e+03 8.177185842e+00 3.702611448e+00 1.084264381e-02 2.168528763e-08
2.855711423e+03 8.177264073e+00 3.702776262e+00 1.059419540e-02 2.118839079e-08
2.865731463e+03 8.177340514e+00 3.702937301e+00 1.035143653e-02 2.070287305e-08
2.875751503e+03 8.177415207e+00 3.703094651e+00 1.011423631e-02 2.022847262e-08
2.885771543e+03 8.177488191e+00 3.703248397e+00 9.882467530e-03 1.976493506e-08
2.895791583e+03 8.177559506e+00 3.703398622e+00 9.656005789e-03 1.931201158e-08
2.905811623e+03 8.177629189e+00 3.703545405e+00 9.434729632e-03 1.886945926e-08
2.915831663e+03 8.177697278e+00 3.703688826e+00 9.218521472e-03 1.843704294e-08
2.925851703e+03 8.177763808e+00 3.703828961e+00 9.007264762e-03 1.801452952e-08
2.935871743e+03 8.177828817e+00 3.703965886e+00 8.800846158e-03 1.760169232e-08
2.945891784e+03 8.177892338e+00 3.704099675e+00 8.599154847e-03 1.719830969e-08
2.955911824e+03 8.177954406e+00 3.704230398e+00 8.402082757e-03 1.680416551e-08
2.965931864e+03 8.178015053e+00 3.704358126e+00 8.209524844e-03 1.641904969e-08
2.975951904e+03 8.178074312e+00 3.704482928e+00 8.021377395e-03 1.604275479e-08
2.985971944e+03 8.178132215e+00 3.704604871e+00 7.837539429e-03 1.567507886e-08
2.995991984e+03 8.178188793e+00 3.704724020e+00 7.657912216e-03 1.531582443e-08
3.006012024e+03 8.178244075e+00 3.704840439e+00 7.482399591e-03 1.496479918e-08
3.016032064e+03 8.178298093e+00 3.704954191e+00 7.310907781e-03 1.462181556e-08
3.026052104e+03 8.178350873e+00 3.705065336e+00 7.143344441e-03 1.428668888e-08
3.036072144e+03 8.178402446e+00 3.705173934e+00 6.979619585e-03 1.395923917e-08
3.046092184e+03 8.178452838e+00 3.705280044e+00 6.819645231e-03 1.363929046e-08
3.056112224e+03 8.178502076e+00 3.705383723e+00 6.663335845e-03 1.332667169e-08
3.066132265e+03 8.178550187e+00 3.705485025e+00 6.510607737e-03 1.302121547e-08
3.076152305e+03 8.178597196e+00 3.705584007e+00 6.361378657e-03 1.272275731e-08
3.086172345e+03 8.178643130e+00 3.705680720e+00 6.215568421e-03 1.243113684e-08
3.096192385e+03 8.178688011e+00 3.705775217e+00 6.073098624e-03 1.214619725e-08
3.106212425e+03 8.178731865e+00 3.705867549e+00 5.933893350e-03 1.186778670e-08
3.116232465e+03 8.178774714e+00 3.705957764e+00 5.797877838e-03 1.159575568e-08
3.126252505e+03 8.178816582e+00 3.706045912e+00 5.664978817e-03 1.132995763e-08
3.136272545e+03 8.178857492e+00 3.706132040e+00 5.535124835e-03 1.107024967e-08
3.146292585e+03 8.178897465e+00 3.706216194e+00 5.408246019e-03 1.081649204e-08
3.156312625e+03 8.178936522e+00 3.706298420e+00 5.284274402e-03 1.056854880e-08
3.166332665e+03 8.178974684e+00 3.706378761e+00 5.163144021e-03 1.032628804e-08
3.176352705e+03 8.179011973e+00 3.706457260e+00 5.044789322e-03 1.008957864e-08
3.186372745e+03 8.179048408e+00 3.706533961e+00 4.929146657e-03 9.858293315e-09
3.196392786e+03 8.179084008e+00 3.706608904e+00 4.816153787e-03 9.632307574e-09
3.206412826e+03 8.179118793e+00 3.706682129e+00 4.705749835e-03 9.411499671e-09
3.216432866e+03 8.179152781e+00 3.706753676e+00 4.597876513e-03 9.195753026e-09
3.226452906e+03 8.179185990e+00 3.706823583e+00 4.492475287e-03 8.984950573e-09
3.236472946e+03 8.179218439e+00 3.706891887e+00 4.389489470e-03 8.778978939e-09
3.246492986e+03 8.179250144e+00 3.706958626e+00 4.288863648e-03 8.577727296e-09
3.256513026e+03 8.179281123e+00 3.707023836e+00 4.190543632e-03 8.381087264e-09
3.266533066e+03 8.179311393e+00 3.707087551e+00 4.094476988e-03 8.188953976e-09
3.276553106e+03 8.179340969e+00 3.707149805e+00 4.000612255e-03 8.001224509e-09
3.286573146e+03 8.179369867e+00 3.707210633e+00 3.908898725e-03 7.817797451e-09
3.296593186e+03 8.179398104e+00 3.707270066e+00 3.819287064e-03 7.638574128e-09
3.306613226e+03 8.179425694e+00 3.707328137e+00 3.731729029e-03 7.463458059e-09
3.316633267e+03 8.179452651e+00 3.707384877e+00 3.646177605e-03 7.292355210e-09
3.326653307e+03 8.179478991e+00 3.707440316e+00 3.562587333e-03 7.125174666e-09
3.336673347e+03 8.179504727e+00 3.707494485e+00 3.480912937e-03 6.961825874e-09
