time            Cj              Ck             
5.987975952e+02 3.859798125e+02 3.972634728e+02
6.012024048e+02 3.859841911e+02 3.972701016e+02
6.036072144e+02 3.859885295e+02 3.972766698e+02
6.060120240e+02 3.859928285e+02 3.972831782e+02
6.084168337e+02 3.859970884e+02 3.972896275e+02
6.108216433e+02 3.860013098e+02 3.972960186e+02
6.132264529e+02 3.860054933e+02 3.973023523e+02
6.156312625e+02 3.860096393e+02 3.973086293e+02
6.180360721e+02 3.860137484e+02 3.973148505e+02
6.204408818e+02 3.860178210e+02 3.973210164e+02
6.228456914e+02 3.860218576e+02 3.973271279e+02
6.252505010e+02 3.860258588e+02 3.973331857e+02
6.276553106e+02 3.860298249e+02 3.973391905e+02
6.300601202e+02 3.860337564e+02 3.973451430e+02
6.324649299e+02 3.860376538e+02 3.973510439e+02
6.348697395e+02 3.860415175e+02 3.973568937e+02
6.372745491e+02 3.860453480e+02 3.973626933e+02
6.396793587e+02 3.860491456e+02 3.973684432e+02
6.420841683e+02 3.860529109e+02 3.973741440e+02
6.444889780e+02 3.860566441e+02 3.973797965e+02
6.468937876e+02 3.860603458e+02 3.973854011e+02
6.492985972e+02 3.860640163e+02 3.973909586e+02
6.517034068e+02 3.860676560e+02 3.973964695e+02
6.541082164e+02 3.860712653e+02 3.974019344e+02
6.565130261e+02 3.860748445e+02 3.974073538e+02
6.589178357e+02 3.860783941e+02 3.974127283e+02
6.613226453e+02 3.860819144e+02 3.974180585e+02
6.637274549e+02 3.860854058e+02 3.974233450e+02
6.661322645e+02 3.860888686e+02 3.974285882e+02
6.685370741e+02 3.860923032e+02 3.974337887e+02
6.709418838e+02 3.860957100e+02 3.974389470e+02
6.733466934e+02 3.860990891e+02 3.974440637e+02
6.757515030e+02 3.861024411e+02 3.974491392e+02
6.781563126e+02 3.861057662e+02 3.974541739e+02
6.805611222e+02 3.861090647e+02 3.974591685e+02
6.829659319e+02 3.861123370e+02 3.974641233e+02
6.853707415e+02 3.861155833e+02 3.974690390e+02
6.877755511e+02 3.861188040e+02 3.974739158e+02
6.901803607e+02 3.861219995e+02 3.974787544e+02
6.925851703e+02 3.861251699e+02 3.974835551e+02
6.949899800e+02 3.861283156e+02 3.974883184e+02
6.973947896e+02 3.861314368e+02 3.974930446e+02
6.997995992e+02 3.861345338e+02 3.974977343e+02
7.022044088e+02 3.861376070e+02 3.975023878e+02
7.046092184e+02 3.861406565e+02 3.975070055e+02
7.070140281e+02 3.861436826e+02 3.975115879e+02
7.094188377e+02 3.861466857e+02 3.975161353e+02
7.118236473e+02 3.861496660e+02 3.975206483e+02
7.142284569e+02 3.861526238e+02 3.975251273e+02
7.166332665e+02 3.861555595e+02 3.975295728e+02
7.190380762e+02 3.861584730e+02 3.975339846e+02
7.214428858e+02 3.861613647e+02 3.975383634e+02
7.238476954e+02 3.861642348e+02 3.975427097e+02
7.262525050e+02 3.861670836e+02 3.975470236e+02
7.286573146e+02 3.861699113e+02 3.975513057e+02
7.310621242e+02 3.861727183e+02 3.975555563e+02
7.334669339e+02 3.861755046e+02 3.975597757e+02
7.358717435e+02 3.861782705e+02 3.975639641e+02
7.382765531e+02 3.861810162e+02 3.975681221e+02
7.406813627e+02 3.861837420e+02 3.975722499e+02
7.430861723e+02 3.861864481e+02 3.975763478e+02
7.454909820e+02 3.861891346e+02 3.975804162e+02
7.478957916e+02 3.861918019e+02 3.975844554e+02
7.503006012e+02 3.861944500e+02 3.975884657e+02
7.527054108e+02 3.861970793e+02 3.975924473e+02
7.551102204e+02 3.861996899e+02 3.975964007e+02
7.575150301e+02 3.862022820e+02 3.976003261e+02
7.599198397e+02 3.862048558e+02 3.976042238e+02
7.623246493e+02 3.862074114e+02 3.976080941e+02
7.647294589e+02 3.862099492e+02 3.976119373e+02
7.671342685e+02 3.862124693e+02 3.976157537e+02
7.695390782e+02 3.862149718e+02 3.976195435e+02
7.719438878e+02 3.862174569e+02 3.976233070e+02
7.743486974e+02 3.862199249e+02 3.976270446e+02
