time            Cj              shCj           
6.192384770e+02 5.292816484e-01 5.292816484e-01
6.212424850e+02 5.280420715e-01 5.280420715e-01
6.232464930e+02 5.268082885e-01 5.268082885e-01
6.252505010e+02 5.255802590e-01 5.255802590e-01
6.272545090e+02 5.243579426e-01 5.243579426e-01
6.292585170e+02 5.231412994e-01 5.231412994e-01
6.312625251e+02 5.219302891e-01 5.219302891e-01
6.332665331e+02 5.207248718e-01 5.207248718e-01
6.352705411e+02 5.195250081e-01 5.195250081e-01
6.372745491e+02 5.183306605e-01 5.183306605e-01
6.392785571e+02 5.171417922e-01 5.171417922e-01
6.412825651e+02 5.159583654e-01 5.159583654e-01
6.432865731e+02 5.147803427e-01 5.147803427e-01
6.452905812e+02 5.136076870e-01 5.136076870e-01
6.472945892e+02 5.124403614e-01 5.124403614e-01
6.492985972e+02 5.112783292e-01 5.112783292e-01
6.513026052e+02 5.101215552e-01 5.101215552e-01
6.533066132e+02 5.089700044e-01 5.089700044e-01
6.553106212e+02 5.078236411e-01 5.078236411e-01
6.573146293e+02 5.066824305e-01 5.066824305e-01
6.593186373e+02 5.055463376e-01 5.055463376e-01
6.613226453e+02 5.044153281e-01 5.044153281e-01
6.633266533e+02 5.032893678e-01 5.032893678e-01
6.653306613e+02 5.021684231e-01 5.021684231e-01
6.673346693e+02 5.010524608e-01 5.010524608e-01
6.693386774e+02 4.999414475e-01 4.999414475e-01
6.713426854e+02 4.988353507e-01 4.988353507e-01
6.733466934e+02 4.977341375e-01 4.977341375e-01
6.753507014e+02 4.966377758e-01 4.966377758e-01
6.773547094e+02 4.955462336e-01 4.955462336e-01
6.793587174e+02 4.944594790e-01 4.944594790e-01
6.813627255e+02 4.933774809e-01 4.933774809e-01
6.833667335e+02 4.923002079e-01 4.923002079e-01
6.853707415e+02 4.912276291e-01 4.912276291e-01
6.873747495e+02 4.901597141e-01 4.901597141e-01
6.893787575e+02 4.890964322e-01 4.890964322e-01
6.913827655e+02 4.880377536e-01 4.880377536e-01
6.933867735e+02 4.869836484e-01 4.869836484e-01
6.953907816e+02 4.859340871e-01 4.859340871e-01
6.973947896e+02 4.848890412e-01 4.848890412e-01
6.993987976e+02 4.838484815e-01 4.838484815e-01
7.014028056e+02 4.828123786e-01 4.828123786e-01
7.034068136e+02 4.817807032e-01 4.817807032e-01
7.054108216e+02 4.807534261e-01 4.807534261e-01
7.074148297e+02 4.797305213e-01 4.797305213e-01
7.094188377e+02 4.787119611e-01 4.787119611e-01
7.114228457e+02 4.776977174e-01 4.776977174e-01
7.134268537e+02 4.766877620e-01 4.766877620e-01
7.154308617e+02 4.756820671e-01 4.756820671e-01
7.174348697e+02 4.746806072e-01 4.746806072e-01
7.194388778e+02 4.736833561e-01 4.736833561e-01
7.214428858e+02 4.726902870e-01 4.726902870e-01
7.234468938e+02 4.717013730e-01 4.717013730e-01
7.254509018e+02 4.707165940e-01 4.707165940e-01
7.274549098e+02 4.697359076e-01 4.697359076e-01
7.294589178e+02 4.687593020e-01 4.687593020e-01
7.314629259e+02 4.677867505e-01 4.677867505e-01
7.334669339e+02 4.668182268e-01 4.668182268e-01
7.354709419e+02 4.658537049e-01 4.658537049e-01
7.374749499e+02 4.648931597e-01 4.648931597e-01
7.394789579e+02 4.639365675e-01 4.639365675e-01
