time            Br              Cj             
3.567134269e+03 1.670646467e-12 1.201639619e+01
3.575150301e+03 1.661274486e-12 1.201639619e+01
3.583166333e+03 1.651902504e-12 1.201639619e+01
3.591182365e+03 1.642530522e-12 1.201639619e+01
3.599198397e+03 1.633158540e-12 1.201639619e+01
3.607214429e+03 1.623786558e-12 1.201639619e+01
3.615230461e+03 1.614414576e-12 1.201639619e+01
3.623246493e+03 1.605042594e-12 1.201639619e+01
3.631262525e+03 1.595670612e-12 1.201639619e+01
3.639278557e+03 1.586298630e-12 1.201639619e+01
3.647294589e+03 1.576926648e-12 1.201639619e+01
3.655310621e+03 1.567554666e-12 1.201639619e+01
3.663326653e+03 1.558182684e-12 1.201639619e+01
3.671342685e+03 1.548810702e-12 1.201639619e+01
3.679358717e+03 1.539438720e-12 1.201639619e+01
3.687374749e+03 1.530066738e-12 1.201639619e+01
3.695390782e+03 1.520694756e-12 1.201639619e+01
3.703406814e+03 1.511322774e-12 1.201639619e+01
3.711422846e+03 1.501950793e-12 1.201639619e+01
3.719438878e+03 1.492578811e-12 1.201639619e+01
3.727454910e+03 1.483206829e-12 1.201639619e+01
3.735470942e+03 1.473834847e-12 1.201639619e+01
3.743486974e+03 1.464462865e-12 1.201639619e+01
3.751503006e+03 1.455090883e-12 1.201639619e+01
3.759519038e+03 1.445718901e-12 1.201639619e+01
3.767535070e+03 1.436346919e-12 1.201639619e+01
3.775551102e+03 1.426974937e-12 1.201639619e+01
3.783567134e+03 1.417602955e-12 1.201639619e+01
3.791583166e+03 1.408230973e-12 1.201639619e+01
3.799599198e+03 1.398858991e-12 1.201639619e+01
3.807615230e+03 1.389487009e-12 1.201639619e+01
3.815631263e+03 1.380115027e-12 1.201639619e+01
3.823647295e+03 1.370743045e-12 1.201639619e+01
3.831663327e+03 1.361371063e-12 1.201639619e+01
3.839679359e+03 1.351999081e-12 1.201639619e+01
3.847695391e+03 1.342627099e-12 1.201639619e+01
3.855711423e+03 1.333255118e-12 1.201639619e+01
3.863727455e+03 1.323883136e-12 1.201639619e+01
3.871743487e+03 1.314511154e-12 1.201639619e+01
3.879759519e+03 1.305139172e-12 1.201639619e+01
3.887775551e+03 1.295767190e-12 1.201639619e+01
3.895791583e+03 1.286395208e-12 1.201639619e+01
3.903807615e+03 1.277023226e-12 1.201639619e+01
3.911823647e+03 1.267651244e-12 1.201639619e+01
3.919839679e+03 1.258279262e-12 1.201639619e+01
3.927855711e+03 1.248907280e-12 1.201639619e+01
3.935871743e+03 1.239535298e-12 1.201639619e+01
3.943887776e+03 1.230163316e-12 1.201639619e+01
3.951903808e+03 1.220791334e-12 1.201639619e+01
3.959919840e+03 1.211419352e-12 1.201639619e+01
3.967935872e+03 1.202047370e-12 1.201639619e+01
3.975951904e+03 1.192675388e-12 1.201639619e+01
3.983967936e+03 1.183303406e-12 1.201639619e+01
3.991983968e+03 1.173931425e-12 1.201639619e+01
4.000000000e+03 1.164559443e-12 1.201639619e+01
