time            shCj            shCk            shBr           
1.743486974e+03 3.152648140e+00 3.155409533e+00 6.901631527e-06
1.749498998e+03 3.152648282e+00 3.155409685e+00 6.507404931e-06
1.755511022e+03 3.152648416e+00 3.155409828e+00 6.136076544e-06
1.761523046e+03 3.152648543e+00 3.155409963e+00 5.786174339e-06
1.767535070e+03 3.152648662e+00 3.155410091e+00 5.456245093e-06
1.773547094e+03 3.152648774e+00 3.155410211e+00 5.144972468e-06
1.779559118e+03 3.152648880e+00 3.155410324e+00 4.851226821e-06
1.785571142e+03 3.152648980e+00 3.155410431e+00 4.574561624e-06
1.791583166e+03 3.152649074e+00 3.155410532e+00 4.313623370e-06
1.797595190e+03 3.152649163e+00 3.155410627e+00 4.067465421e-06
1.803607214e+03 3.152649247e+00 3.155410717e+00 3.835186231e-06
1.809619238e+03 3.152649326e+00 3.155410801e+00 3.616094316e-06
1.815631263e+03 3.152649401e+00 3.155410881e+00 3.409485745e-06
1.821643287e+03 3.152649471e+00 3.155410956e+00 3.214616679e-06
1.827655311e+03 3.152649537e+00 3.155411027e+00 3.030849785e-06
1.833667335e+03 3.152649600e+00 3.155411094e+00 2.857588240e-06
1.839679359e+03 3.152649659e+00 3.155411157e+00 2.694154894e-06
1.845691383e+03 3.152649715e+00 3.155411216e+00 2.540060018e-06
1.851703407e+03 3.152649767e+00 3.155411273e+00 2.394790438e-06
1.857715431e+03 3.152649817e+00 3.155411325e+00 2.257860161e-06
1.863727455e+03 3.152649863e+00 3.155411375e+00 2.128810071e-06
1.869739479e+03 3.152649907e+00 3.155411422e+00 2.007201161e-06
1.875751503e+03 3.152649948e+00 3.155411466e+00 1.892607466e-06
1.881763527e+03 3.152649987e+00 3.155411508e+00 1.784619083e-06
1.887775551e+03 3.152650024e+00 3.155411547e+00 1.682836520e-06
1.893787575e+03 3.152650059e+00 3.155411584e+00 1.586867328e-06
1.899799599e+03 3.152650092e+00 3.155411619e+00 1.496322712e-06
