time            Br              Cj              sCj             sBr            
9.503807615e+02 2.066341173e-06 1.200160710e+01 0.000000000e+00 1.000000000e+01
9.545490982e+02 1.923151280e-06 1.200160725e+01 0.000000000e+00 1.000000000e+01
9.587174349e+02 1.789957802e-06 1.200160740e+01 0.000000000e+00 1.000000000e+01
9.628857715e+02 1.665995407e-06 1.200160753e+01 0.000000000e+00 1.000000000e+01
9.670541082e+02 1.550386160e-06 1.200160765e+01 0.000000000e+00 1.000000000e+01
9.712224449e+02 1.442595182e-06 1.200160777e+01 0.000000000e+00 1.000000000e+01
9.753907816e+02 1.342211087e-06 1.200160787e+01 0.000000000e+00 1.000000000e+01
9.795591182e+02 1.248078916e-06 1.200160797e+01 0.000000000e+00 1.000000000e+01
9.837274549e+02 1.160200652e-06 1.200160807e+01 0.000000000e+00 1.000000000e+01
9.878957916e+02 1.078358996e-06 1.200160815e+01 0.000000000e+00 1.000000000e+01
9.920641283e+02 1.002407484e-06 1.200160824e+01 0.000000000e+00 1.000000000e+01
9.962324649e+02 9.320356361e-07 1.200160831e+01 0.000000000e+00 1.000000000e+01
1.000400802e+03 8.657585574e-07 1.200160838e+01 0.000000000e+00 1.000000000e+01
1.004569138e+03 8.041004711e-07 1.200160845e+01 0.000000000e+00 1.000000000e+01
1.008737475e+03 7.468938190e-07 1.200160851e+01 0.000000000e+00 1.000000000e+01
1.012905812e+03 6.940231878e-07 1.200160857e+01 0.000000000e+00 1.000000000e+01
1.017074148e+03 6.450124999e-07 1.200160862e+01 0.000000000e+00 1.000000000e+01
1.021242485e+03 5.991574828e-07 1.200160867e+01 0.000000000e+00 1.000000000e+01
1.025410822e+03 5.566272346e-07 1.200160871e+01 0.000000000e+00 1.000000000e+01
1.029579158e+03 5.172385534e-07 1.200160875e+01 0.000000000e+00 1.000000000e+01
1.033747495e+03 4.808299206e-07 1.200160879e+01 0.000000000e+00 1.000000000e+01
1.037915832e+03 4.470272846e-07 1.200160883e+01 0.000000000e+00 1.000000000e+01
1.042084168e+03 4.156009546e-07 1.200160886e+01 0.000000000e+00 1.000000000e+01
1.046252505e+03 3.864507388e-07 1.200160889e+01 0.000000000e+00 1.000000000e+01
1.050420842e+03 3.594066079e-07 1.200160892e+01 0.000000000e+00 1.000000000e+01
1.054589178e+03 3.343099848e-07 1.200160895e+01 0.000000000e+00 1.000000000e+01
1.058757515e+03 3.109929437e-07 1.200160898e+01 0.000000000e+00 1.000000000e+01
1.062925852e+03 2.893266170e-07 1.200160900e+01 0.000000000e+00 1.000000000e+01
1.067094188e+03 2.691858038e-07 1.200160902e+01 0.000000000e+00 1.000000000e+01
1.071262525e+03 2.504547519e-07 1.200160904e+01 0.000000000e+00 1.000000000e+01
1.075430862e+03 2.330289225e-07 1.200160906e+01 0.000000000e+00 1.000000000e+01
1.079599198e+03 2.168149908e-07 1.200160908e+01 0.000000000e+00 1.000000000e+01
1.083767535e+03 2.017200539e-07 1.200160909e+01 0.000000000e+00 1.000000000e+01
1.087935872e+03 1.876034643e-07 1.200160911e+01 0.000000000e+00 1.000000000e+01
1.092104208e+03 1.744397557e-07 1.200160912e+01 0.000000000e+00 1.000000000e+01
1.096272545e+03 1.621703862e-07 1.200160913e+01 0.000000000e+00 1.000000000e+01
1.100440882e+03 1.507471722e-07 1.200160915e+01 0.000000000e+00 1.000000000e+01
