time            Cj              Ck              Br             
1.100200401e+03 4.130629794e+00 2.229522298e+00 6.914488647e-01
1.106212425e+03 4.133157357e+00 2.234165148e+00 6.833579951e-01
1.112224449e+03 4.135660499e+00 2.238756517e+00 6.753530987e-01
1.118236473e+03 4.138139356e+00 2.243296891e+00 6.674334655e-01
1.124248497e+03 4.140594067e+00 2.247786748e+00 6.595983861e-01
1.130260521e+03 4.143024774e+00 2.252226569e+00 6.518471503e-01
1.136272545e+03 4.145431619e+00 2.256616829e+00 6.441790525e-01
1.142284569e+03 4.147814745e+00 2.260958000e+00 6.365933876e-01
1.148296593e+03 4.150174298e+00 2.265250552e+00 6.290894521e-01
1.154308617e+03 4.152510424e+00 2.269494954e+00 6.216665440e-01
1.160320641e+03 4.154823273e+00 2.273691669e+00 6.143239608e-01
1.166332665e+03 4.157112993e+00 2.277841160e+00 6.070610055e-01
1.172344689e+03 4.159379736e+00 2.281943886e+00 5.998769818e-01
1.178356713e+03 4.161623652e+00 2.286000303e+00 5.927711957e-01
1.184368737e+03 4.163844894e+00 2.290010864e+00 5.857429556e-01
1.190380762e+03 4.166043617e+00 2.293976020e+00 5.787915692e-01
1.196392786e+03 4.168219975e+00 2.297896217e+00 5.719163508e-01
1.202404810e+03 4.170374122e+00 2.301771902e+00 5.651166156e-01
1.208416834e+03 4.172506215e+00 2.305603514e+00 5.583916817e-01
1.214428858e+03 4.174616409e+00 2.309391493e+00 5.517408700e-01
1.220440882e+03 4.176704866e+00 2.313136275e+00 5.451635011e-01
1.226452906e+03 4.178771742e+00 2.316838292e+00 5.386589025e-01
1.232464930e+03 4.180817196e+00 2.320497975e+00 5.322264034e-01
1.238476954e+03 4.182841386e+00 2.324115749e+00 5.258653359e-01
1.244488978e+03 4.184844471e+00 2.327692038e+00 5.195750354e-01
1.250501002e+03 4.186826617e+00 2.331227267e+00 5.133548376e-01
1.256513026e+03 4.188787981e+00 2.334721851e+00 5.072040849e-01
1.262525050e+03 4.190728725e+00 2.338176206e+00 5.011221220e-01
1.268537074e+03 4.192649011e+00 2.341590745e+00 4.951082970e-01
1.274549098e+03 4.194549001e+00 2.344965877e+00 4.891619613e-01
1.280561122e+03 4.196428854e+00 2.348302007e+00 4.832824679e-01
1.286573146e+03 4.198288731e+00 2.351599538e+00 4.774691753e-01
1.292585170e+03 4.200128796e+00 2.354858870e+00 4.717214456e-01
1.298597194e+03 4.201949209e+00 2.358080400e+00 4.660386439e-01
1.304609218e+03 4.203750131e+00 2.361264522e+00 4.604201395e-01
1.310621242e+03 4.205531722e+00 2.364411625e+00 4.548653036e-01
1.316633267e+03 4.207294142e+00 2.367522095e+00 4.493735130e-01
1.322645291e+03 4.209037552e+00 2.370596316e+00 4.439441478e-01
1.328657315e+03 4.210762110e+00 2.373634669e+00 4.385765921e-01
1.334669339e+03 4.212467974e+00 2.376637530e+00 4.332702340e-01
1.340681363e+03 4.214155313e+00 2.379605278e+00 4.280244638e-01
1.346693387e+03 4.215824287e+00 2.382538285e+00 4.228386768e-01
1.352705411e+03 4.217475057e+00 2.385436921e+00 4.177122727e-01
1.358717435e+03 4.219107786e+00 2.388301553e+00 4.126446545e-01
1.364729459e+03 4.220722629e+00 2.391132543e+00 4.076352294e-01
1.370741483e+03 4.222319737e+00 2.393930254e+00 4.026834085e-01
1.376753507e+03 4.223899276e+00 2.396695042e+00 3.977886067e-01
1.382765531e+03 4.225461400e+00 2.399427258e+00 3.929502435e-01
1.388777555e+03 4.227006268e+00 2.402127255e+00 3.881677426e-01
1.394789579e+03 4.228534036e+00 2.404795380e+00 3.834405319e-01
1.400801603e+03 4.230044860e+00 2.407431978e+00 3.787680424e-01
1.406813627e+03 4.231538895e+00 2.410037391e+00 3.741497096e-01
1.412825651e+03 4.233016297e+00 2.412611959e+00 3.695849730e-01
1.418837675e+03 4.234477220e+00 2.415156017e+00 3.650732764e-01
1.424849699e+03 4.235921817e+00 2.417669900e+00 3.606140667e-01
1.430861723e+03 4.237350241e+00 2.420153938e+00 3.562067957e-01
1.436873747e+03 4.238762645e+00 2.422608456e+00 3.518509215e-01
1.442885772e+03 4.240159180e+00 2.425033780e+00 3.475459042e-01
1.448897796e+03 4.241539997e+00 2.427430231e+00 3.432912102e-01
1.454909820e+03 4.242905246e+00 2.429798125e+00 3.390863080e-01
1.460921844e+03 4.244255076e+00 2.432137779e+00 3.349306711e-01
