time            A               B               Y              
3.567134269e+03 6.752878990e-03 1.471960298e+01 6.879156676e-02
3.577154309e+03 6.594605211e-03 1.472118617e+01 6.740372430e-02
3.587174349e+03 6.440008412e-03 1.472273821e+01 6.604253862e-02
3.597194389e+03 6.289004550e-03 1.472425968e+01 6.470753719e-02
3.607214429e+03 6.141511891e-03 1.472575115e+01 6.339825390e-02
3.617234469e+03 5.997449761e-03 1.472721315e+01 6.211423107e-02
3.627254509e+03 5.856739530e-03 1.472864625e+01 6.085501759e-02
3.637274549e+03 5.719304280e-03 1.473005098e+01 5.962016940e-02
3.647294589e+03 5.585068843e-03 1.473142787e+01 5.840924926e-02
3.657314629e+03 5.453960341e-03 1.473277743e+01 5.722182597e-02
3.667334669e+03 5.325906614e-03 1.473410018e+01 5.605747627e-02
3.677354709e+03 5.200837420e-03 1.473539661e+01 5.491578314e-02
3.687374749e+03 5.078684061e-03 1.473666723e+01 5.379633618e-02
3.697394790e+03 4.959379357e-03 1.473791251e+01 5.269873155e-02
3.707414830e+03 4.842858283e-03 1.473913294e+01 5.162257128e-02
3.717434870e+03 4.729056398e-03 1.474032898e+01 5.056746453e-02
3.727454910e+03 4.617910998e-03 1.474150109e+01 4.953302651e-02
3.737474950e+03 4.509360763e-03 1.474264973e+01 4.851887864e-02
3.747494990e+03 4.403345723e-03 1.474377534e+01 4.752464850e-02
3.757515030e+03 4.299807841e-03 1.474487835e+01 4.654996950e-02
3.767535070e+03 4.198689669e-03 1.474595921e+01 4.559448136e-02
3.777555110e+03 4.099935248e-03 1.474701832e+01 4.465782960e-02
3.787575150e+03 4.003489881e-03 1.474805611e+01 4.373966560e-02
3.797595190e+03 3.909300080e-03 1.474907298e+01 4.283964649e-02
3.807615230e+03 3.817313994e-03 1.475006934e+01 4.195743518e-02
3.817635271e+03 3.727480485e-03 1.475104557e+01 4.109270014e-02
3.827655311e+03 3.639749614e-03 1.475200206e+01 4.024511536e-02
3.837675351e+03 3.554072603e-03 1.475293920e+01 3.941436035e-02
3.847695391e+03 3.470401754e-03 1.475385735e+01 3.860012001e-02
3.857715431e+03 3.388690996e-03 1.475475689e+01 3.780208463e-02
3.867735471e+03 3.308894760e-03 1.475563816e+01 3.701994968e-02
