time            A               B               Y              
3.166332665e+03 1.512575050e-04 1.442400157e+01 8.886884467e-03
3.176352705e+03 1.454520762e-04 1.442458635e+01 8.621585964e-03
3.186372745e+03 1.398682913e-04 1.442515425e+01 8.363974946e-03
3.196392786e+03 1.344983868e-04 1.442570571e+01 8.113853249e-03
3.206412826e+03 1.293342782e-04 1.442624118e+01 7.871012426e-03
3.216432866e+03 1.243680620e-04 1.442676111e+01 7.635247212e-03
3.226452906e+03 1.195922634e-04 1.442726593e+01 7.406360904e-03
3.236472946e+03 1.149994458e-04 1.442775607e+01 7.184157737e-03
3.246492986e+03 1.105826455e-04 1.442823192e+01 6.968451581e-03
3.256513026e+03 1.063350436e-04 1.442869390e+01 6.759058803e-03
3.266533066e+03 1.022500738e-04 1.442914239e+01 6.555800961e-03
3.276553106e+03 9.832146636e-05 1.442957776e+01 6.358505710e-03
3.286573146e+03 9.454300436e-05 1.443000040e+01 6.167003019e-03
3.296593186e+03 9.090875509e-05 1.443041065e+01 5.981128834e-03
3.306613226e+03 8.741313563e-05 1.443080887e+01 5.800725393e-03
3.316633267e+03 8.405595373e-05 1.443119540e+01 5.625638038e-03
3.326653307e+03 8.082908360e-05 1.443157056e+01 5.455713402e-03
3.336673347e+03 7.772186028e-05 1.443193468e+01 5.290803586e-03
3.346693387e+03 7.473632143e-05 1.443228808e+01 5.130766493e-03
3.356713427e+03 7.186396421e-05 1.443263106e+01 4.975462132e-03
3.366733467e+03 6.910164043e-05 1.443296391e+01 4.824753292e-03
3.376753507e+03 6.644556182e-05 1.443328693e+01 4.678510670e-03
3.386773547e+03 6.389131291e-05 1.443360040e+01 4.536604690e-03
3.396793587e+03 6.143517195e-05 1.443390458e+01 4.398911336e-03
3.406813627e+03 5.907383412e-05 1.443419972e+01 4.265324342e-03
3.416833667e+03 5.680290329e-05 1.443448611e+01 4.135703213e-03
3.426853707e+03 5.461898951e-05 1.443476402e+01 4.009936104e-03
3.436873747e+03 5.251887653e-05 1.443503366e+01 3.887916058e-03
3.446893788e+03 5.049932431e-05 1.443529528e+01 3.769533747e-03
3.456913828e+03 4.855737548e-05 1.443554911e+01 3.654685605e-03
3.466933868e+03 4.669004374e-05 1.443579538e+01 3.543267677e-03
3.476953908e+03 4.489452864e-05 1.443603430e+01 3.435180088e-03
3.486973948e+03 4.316818352e-05 1.443626609e+01 3.330326265e-03
3.496993988e+03 4.150850637e-05 1.443649096e+01 3.228611567e-03
3.507014028e+03 3.991313644e-05 1.443670910e+01 3.129944415e-03
3.517034068e+03 3.837984099e-05 1.443692071e+01 3.034236061e-03
3.527054108e+03 3.690652399e-05 1.443712599e+01 2.941401609e-03
3.537074148e+03 3.548702109e-05 1.443732510e+01 2.851356528e-03
3.547094188e+03 3.411744094e-05 1.443751825e+01 2.764017478e-03
3.557114228e+03 3.280431748e-05 1.443770559e+01 2.679306973e-03
3.567134269e+03 3.154509709e-05 1.443788730e+01 2.597147649e-03
3.577154309e+03 3.033029212e-05 1.443806354e+01 2.517463481e-03
3.587174349e+03 2.916221346e-05 1.443823448e+01 2.440182132e-03
3.597194389e+03 2.804110094e-05 1.443840027e+01 2.365233304e-03
3.607214429e+03 2.696215066e-05 1.443856107e+01 2.292546851e-03
3.617234469e+03 2.592490935e-05 1.443871701e+01 2.222055217e-03
3.627254509e+03 2.492752209e-05 1.443886825e+01 2.153696706e-03
3.637274549e+03 2.396862013e-05 1.443901489e+01 2.087414974e-03
3.647294589e+03 2.304657492e-05 1.443915710e+01 2.023141437e-03
3.657314629e+03 2.215981250e-05 1.443929503e+01 1.960809370e-03
3.667334669e+03 2.130719353e-05 1.443942877e+01 1.900367968e-03
3.677354709e+03 2.048740760e-05 1.443955846e+01 1.841760159e-03
3.687374749e+03 1.969923151e-05 1.443968422e+01 1.784931814e-03
3.697394790e+03 1.894150675e-05 1.443980616e+01 1.729831024e-03
3.707414830e+03 1.821306165e-05 1.443992440e+01 1.676405930e-03
3.717434870e+03 1.751272209e-05 1.444003905e+01 1.624604554e-03
3.727454910e+03 1.683945069e-05 1.444015022e+01 1.574381289e-03
3.737474950e+03 1.619220967e-05 1.444025800e+01 1.525686960e-03
