time            B               C              
7.494989980e+02 4.956076776e-01 4.956076776e-01
7.515030060e+02 4.946032001e-01 4.946032001e-01
7.535070140e+02 4.936027927e-01 4.936027927e-01
7.555110220e+02 4.926064160e-01 4.926064160e-01
7.575150301e+02 4.916140546e-01 4.916140546e-01
7.595190381e+02 4.906256873e-01 4.906256873e-01
7.615230461e+02 4.896412782e-01 4.896412782e-01
7.635270541e+02 4.886608231e-01 4.886608231e-01
7.655310621e+02 4.876842910e-01 4.876842910e-01
7.675350701e+02 4.867116542e-01 4.867116542e-01
7.695390782e+02 4.857428849e-01 4.857428849e-01
7.715430862e+02 4.847779609e-01 4.847779609e-01
7.735470942e+02 4.838168634e-01 4.838168634e-01
7.755511022e+02 4.828595692e-01 4.828595692e-01
7.775551102e+02 4.819060553e-01 4.819060553e-01
7.795591182e+02 4.809562997e-01 4.809562997e-01
7.815631263e+02 4.800102805e-01 4.800102805e-01
7.835671343e+02 4.790679757e-01 4.790679757e-01
7.855711423e+02 4.781293629e-01 4.781293629e-01
7.875751503e+02 4.771944213e-01 4.771944213e-01
7.895791583e+02 4.762631281e-01 4.762631281e-01
7.915831663e+02 4.753354634e-01 4.753354634e-01
7.935871743e+02 4.744114055e-01 4.744114055e-01
7.955911824e+02 4.734909331e-01 4.734909331e-01
7.975951904e+02 4.725740258e-01 4.725740258e-01
7.995991984e+02 4.716606628e-01 4.716606628e-01
8.016032064e+02 4.707508238e-01 4.707508238e-01
8.036072144e+02 4.698444884e-01 4.698444884e-01
8.056112224e+02 4.689416367e-01 4.689416367e-01
8.076152305e+02 4.680422490e-01 4.680422490e-01
8.096192385e+02 4.671463042e-01 4.671463042e-01
8.116232465e+02 4.662537804e-01 4.662537804e-01
8.136272545e+02 4.653646598e-01 4.653646598e-01
8.156312625e+02 4.644789249e-01 4.644789249e-01
8.176352705e+02 4.635965564e-01 4.635965564e-01
8.196392786e+02 4.627175347e-01 4.627175347e-01
8.216432866e+02 4.618418389e-01 4.618418389e-01
8.236472946e+02 4.609694509e-01 4.609694509e-01
8.256513026e+02 4.601003525e-01 4.601003525e-01
8.276553106e+02 4.592345259e-01 4.592345259e-01
8.296593186e+02 4.583719519e-01 4.583719519e-01
8.316633267e+02 4.575126067e-01 4.575126067e-01
8.336673347e+02 4.566564879e-01 4.566564879e-01
8.356713427e+02 4.558035595e-01 4.558035595e-01
8.376753507e+02 4.549538113e-01 4.549538113e-01
8.396793587e+02 4.541072243e-01 4.541072243e-01
8.416833667e+02 4.532637834e-01 4.532637834e-01
8.436873747e+02 4.524234708e-01 4.524234708e-01
8.456913828e+02 4.515862750e-01 4.515862750e-01
8.476953908e+02 4.507521752e-01 4.507521752e-01
8.496993988e+02 4.499211519e-01 4.499211519e-01
8.517034068e+02 4.490931854e-01 4.490931854e-01
8.537074148e+02 4.482682558e-01 4.482682558e-01
8.557114228e+02 4.474463488e-01 4.474463488e-01
8.577154309e+02 4.466274507e-01 4.466274507e-01
8.597194389e+02 4.458115449e-01 4.458115449e-01
8.617234469e+02 4.449986148e-01 4.449986148e-01
8.637274549e+02 4.441886435e-01 4.441886435e-01
8.657314629e+02 4.433816150e-01 4.433816150e-01
8.677354709e+02 4.425775142e-01 4.425775142e-01
8.697394790e+02 4.417763250e-01 4.417763250e-01
8.717434870e+02 4.409780316e-01 4.409780316e-01
8.737474950e+02 4.401826178e-01 4.401826178e-01
8.757515030e+02 4.393900706e-01 4.393900706e-01
8.777555110e+02 4.386003678e-01 4.386003678e-01
8.797595190e+02 4.378134999e-01 4.378134999e-01
8.817635271e+02 4.370294511e-01 4.370294511e-01
8.837675351e+02 4.362482055e-01 4.362482055e-01
8.857715431e+02 4.354697477e-01 4.354697477e-01
8.877755511e+02 4.346940628e-01 4.346940628e-01
8.897795591e+02 4.339211364e-01 4.339211364e-01
8.917835671e+02 4.331509537e-01 4.331509537e-01
8.937875752e+02 4.323835002e-01 4.323835002e-01
8.957915832e+02 4.316187613e-01 4.316187613e-01
8.977955912e+02 4.308567227e-01 4.308567227e-01
8.997995992e+02 4.300973705e-01 4.300973705e-01
9.018036072e+02 4.293406905e-01 4.293406905e-01
9.038076152e+02 4.285866689e-01 4.285866689e-01
9.058116232e+02 4.278352900e-01 4.278352900e-01
9.078156313e+02 4.270865379e-01 4.270865379e-01
9.098196393e+02 4.263404001e-01 4.263404001e-01
9.118236473e+02 4.255968656e-01 4.255968656e-01
9.138276553e+02 4.248559220e-01 4.248559220e-01
9.158316633e+02 4.241175566e-01 4.241175566e-01
9.178356713e+02 4.233817551e-01 4.233817551e-01
9.198396794e+02 4.226485009e-01 4.226485009e-01
9.218436874e+02 4.219177807e-01 4.219177807e-01
9.238476954e+02 4.211895805e-01 4.211895805e-01
9.258517034e+02 4.204638892e-01 4.204638892e-01
9.278557114e+02 4.197406973e-01 4.197406973e-01
9.298597194e+02 4.190199896e-01 4.190199896e-01
9.318637275e+02 4.183017521e-01 4.183017521e-01
9.338677355e+02 4.175859718e-01 4.175859718e-01
9.358717435e+02 4.168726361e-01 4.168726361e-01
9.378757515e+02 4.161617329e-01 4.161617329e-01
9.398797595e+02 4.154532498e-01 4.154532498e-01
9.418837675e+02 4.147471750e-01 4.147471750e-01
9.438877756e+02 4.140434982e-01 4.140434982e-01
9.458917836e+02 4.133422087e-01 4.133422087e-01
9.478957916e+02 4.126432926e-01 4.126432926e-01
9.498997996e+02 4.119467361e-01 4.119467361e-01
9.519038076e+02 4.112525253e-01 4.112525253e-01
9.539078156e+02 4.105606472e-01 4.105606472e-01
9.559118236e+02 4.098710931e-01 4.098710931e-01
9.579158317e+02 4.091838516e-01 4.091838516e-01
9.599198397e+02 4.084989110e-01 4.084989110e-01
9.619238477e+02 4.078162595e-01 4.078162595e-01
9.639278557e+02 4.071358855e-01 4.071358855e-01
9.659318637e+02 4.064577782e-01 4.064577782e-01
9.679358717e+02 4.057819262e-01 4.057819262e-01
9.699398798e+02 4.051083182e-01 4.051083182e-01
9.719438878e+02 4.044369429e-01 4.044369429e-01
9.739478958e+02 4.037677888e-01 4.037677888e-01
9.759519038e+02 4.031008457e-01 4.031008457e-01
9.779559118e+02 4.024361024e-01 4.024361024e-01
9.799599198e+02 4.017735481e-01 4.017735481e-01
9.819639279e+02 4.011131716e-01 4.011131716e-01
9.839679359e+02 4.004549622e-01 4.004549622e-01
9.859719439e+02 3.997989097e-01 3.997989097e-01
9.879759519e+02 3.991450037e-01 3.991450037e-01
9.899799599e+02 3.984932336e-01 3.984932336e-01
9.919839679e+02 3.978435885e-01 3.978435885e-01
9.939879760e+02 3.971960579e-01 3.971960579e-01
9.959919840e+02 3.965506313e-01 3.965506313e-01
9.979959920e+02 3.959072990e-01 3.959072990e-01
1.000000000e+03 3.952660511e-01 3.952660511e-01
