time            Cj              shCj           
8.296593186e+02 2.597178949e-01 2.597178949e-01
8.316633267e+02 2.591681266e-01 2.591681266e-01
8.336673347e+02 2.586206807e-01 2.586206807e-01
8.356713427e+02 2.580755428e-01 2.580755428e-01
8.376753507e+02 2.575326983e-01 2.575326983e-01
8.396793587e+02 2.569921332e-01 2.569921332e-01
8.416833667e+02 2.564538328e-01 2.564538328e-01
8.436873747e+02 2.559177823e-01 2.559177823e-01
8.456913828e+02 2.553839677e-01 2.553839677e-01
8.476953908e+02 2.548523750e-01 2.548523750e-01
8.496993988e+02 2.543229907e-01 2.543229907e-01
8.517034068e+02 2.537958009e-01 2.537958009e-01
8.537074148e+02 2.532707924e-01 2.532707924e-01
8.557114228e+02 2.527479518e-01 2.527479518e-01
8.577154309e+02 2.522272660e-01 2.522272660e-01
8.597194389e+02 2.517087219e-01 2.517087219e-01
8.617234469e+02 2.511923057e-01 2.511923057e-01
8.637274549e+02 2.506780040e-01 2.506780040e-01
8.657314629e+02 2.501658040e-01 2.501658040e-01
8.677354709e+02 2.496556927e-01 2.496556927e-01
8.697394790e+02 2.491476575e-01 2.491476575e-01
8.717434870e+02 2.486416857e-01 2.486416857e-01
8.737474950e+02 2.481377647e-01 2.481377647e-01
8.757515030e+02 2.476358823e-01 2.476358823e-01
8.777555110e+02 2.471360261e-01 2.471360261e-01
8.797595190e+02 2.466381838e-01 2.466381838e-01
8.817635271e+02 2.461423431e-01 2.461423431e-01
8.837675351e+02 2.456484920e-01 2.456484920e-01
8.857715431e+02 2.451566185e-01 2.451566185e-01
8.877755511e+02 2.446667107e-01 2.446667107e-01
8.897795591e+02 2.441787569e-01 2.441787569e-01
8.917835671e+02 2.436927456e-01 2.436927456e-01
8.937875752e+02 2.432086650e-01 2.432086650e-01
8.957915832e+02 2.427265039e-01 2.427265039e-01
8.977955912e+02 2.422462509e-01 2.422462509e-01
8.997995992e+02 2.417678946e-01 2.417678946e-01
9.018036072e+02 2.412914236e-01 2.412914236e-01
9.038076152e+02 2.408168270e-01 2.408168270e-01
9.058116232e+02 2.403440936e-01 2.403440936e-01
9.078156313e+02 2.398732125e-01 2.398732125e-01
9.098196393e+02 2.394041730e-01 2.394041730e-01
9.118236473e+02 2.389369643e-01 2.389369643e-01
9.138276553e+02 2.384715757e-01 2.384715757e-01
