time            shCj            shCk           
6.204408818e+02 4.129320835e+01 4.170444125e+01
6.228456914e+02 4.133719938e+01 4.175128364e+01
6.252505010e+02 4.138073898e+01 4.179764844e+01
6.276553106e+02 4.142383373e+01 4.184354253e+01
6.300601202e+02 4.146649006e+01 4.188897264e+01
6.324649299e+02 4.150871433e+01 4.193394542e+01
6.348697395e+02 4.155051275e+01 4.197846736e+01
6.372745491e+02 4.159189144e+01 4.202254488e+01
6.396793587e+02 4.163285640e+01 4.206618425e+01
6.420841683e+02 4.167341352e+01 4.210939166e+01
6.444889780e+02 4.171356861e+01 4.215217316e+01
6.468937876e+02 4.175332735e+01 4.219453473e+01
6.492985972e+02 4.179269532e+01 4.223648222e+01
6.517034068e+02 4.183167803e+01 4.227802139e+01
6.541082164e+02 4.187028086e+01 4.231915790e+01
6.565130261e+02 4.190850912e+01 4.235989730e+01
6.589178357e+02 4.194636801e+01 4.240024506e+01
6.613226453e+02 4.198386266e+01 4.244020655e+01
6.637274549e+02 4.202099808e+01 4.247978706e+01
6.661322645e+02 4.205777923e+01 4.251899176e+01
6.685370741e+02 4.209421095e+01 4.255782577e+01
6.709418838e+02 4.213029803e+01 4.259629409e+01
6.733466934e+02 4.216604515e+01 4.263440165e+01
6.757515030e+02 4.220145692e+01 4.267215330e+01
6.781563126e+02 4.223653787e+01 4.270955381e+01
6.805611222e+02 4.227129247e+01 4.274660785e+01
6.829659319e+02 4.230572508e+01 4.278332004e+01
6.853707415e+02 4.233984002e+01 4.281969490e+01
6.877755511e+02 4.237364152e+01 4.285573689e+01
6.901803607e+02 4.240713373e+01 4.289145039e+01
6.925851703e+02 4.244032076e+01 4.292683970e+01
6.949899800e+02 4.247320662e+01 4.296190907e+01
6.973947896e+02 4.250579528e+01 4.299666265e+01
6.997995992e+02 4.253809061e+01 4.303110455e+01
7.022044088e+02 4.257009646e+01 4.306523879e+01
7.046092184e+02 4.260181658e+01 4.309906935e+01
7.070140281e+02 4.263325467e+01 4.313260013e+01
7.094188377e+02 4.266441437e+01 4.316583495e+01
7.118236473e+02 4.269529927e+01 4.319877760e+01
7.142284569e+02 4.272591288e+01 4.323143179e+01
7.166332665e+02 4.275625868e+01 4.326380118e+01
7.190380762e+02 4.278634006e+01 4.329588936e+01
7.214428858e+02 4.281616040e+01 4.332769987e+01
7.238476954e+02 4.284572297e+01 4.335923620e+01
7.262525050e+02 4.287503103e+01 4.339050176e+01
7.286573146e+02 4.290408778e+01 4.342149994e+01
7.310621242e+02 4.293289636e+01 4.345223404e+01
7.334669339e+02 4.296145986e+01 4.348270735e+01
7.358717435e+02 4.298978133e+01 4.351292307e+01
7.382765531e+02 4.301786376e+01 4.354288437e+01
7.406813627e+02 4.304571010e+01 4.357259436e+01
7.430861723e+02 4.307332325e+01 4.360205612e+01
7.454909820e+02 4.310070607e+01 4.363127266e+01
7.478957916e+02 4.312786138e+01 4.366024695e+01
7.503006012e+02 4.315479193e+01 4.368898193e+01
7.527054108e+02 4.318150046e+01 4.371748046e+01
7.551102204e+02 4.320798965e+01 4.374574540e+01
7.575150301e+02 4.323426214e+01 4.377377953e+01
7.599198397e+02 4.326032053e+01 4.380158561e+01
7.623246493e+02 4.328616738e+01 4.382916634e+01
7.647294589e+02 4.331180521e+01 4.385652440e+01
7.671342685e+02 4.333723651e+01 4.388366241e+01
7.695390782e+02 4.336246372e+01 4.391058296e+01
7.719438878e+02 4.338748925e+01 4.393728859e+01
7.743486974e+02 4.341231546e+01 4.396378183e+01
7.767535070e+02 4.343694470e+01 4.399006514e+01
7.791583166e+02 4.346137927e+01 4.401614096e+01
7.815631263e+02 4.348562142e+01 4.404201169e+01
7.839679359e+02 4.350967340e+01 4.406767970e+01
7.863727455e+02 4.353353741e+01 4.409314731e+01
7.887775551e+02 4.355721560e+01 4.411841683e+01
7.911823647e+02 4.358071012e+01 4.414349051e+01
7.935871743e+02 4.360402306e+01 4.416837058e+01
7.959919840e+02 4.362715650e+01 4.419305924e+01
7.983967936e+02 4.365011247e+01 4.421755865e+01
8.008016032e+02 4.367289300e+01 4.424187094e+01
8.032064128e+02 4.369550005e+01 4.426599823e+01
8.056112224e+02 4.371793559e+01 4.428994257e+01
