time            Cj              Ak              Br             
1.157755511e+04 5.817021777e-01 2.445416560e+00 2.917039074e+00
1.161803607e+04 5.851831847e-01 2.349169048e+00 3.012305426e+00
1.165851703e+04 5.905863163e-01 2.253735803e+00 3.105156323e+00
1.169899800e+04 5.979230273e-01 2.159530611e+00 3.195121544e+00
1.173947896e+04 6.072139172e-01 2.066932099e+00 3.281749862e+00
1.177995992e+04 6.184883851e-01 1.976281514e+00 3.364613109e+00
1.182044088e+04 6.317842219e-01 1.887881283e+00 3.443309570e+00
1.186092184e+04 6.471471497e-01 1.801994411e+00 3.517466667e+00
1.190140281e+04 6.646302924e-01 1.718844628e+00 3.586742923e+00
1.194188377e+04 6.842935643e-01 1.638617255e+00 3.650829228e+00
1.198236473e+04 7.062029672e-01 1.561460628e+00 3.709449525e+00
1.202284569e+04 7.304297767e-01 1.487488044e+00 3.762360932e+00
1.206332665e+04 7.570496507e-01 1.416780186e+00 3.809353464e+00
1.210380762e+04 7.861414845e-01 1.349387563e+00 3.850249337e+00
1.214428858e+04 8.177863191e-01 1.285333654e+00 3.884902163e+00
1.218476954e+04 8.520659011e-01 1.224617618e+00 3.913195911e+00
1.222525050e+04 8.890611971e-01 1.167217398e+00 3.935043891e+00
1.226573146e+04 9.288506963e-01 1.113092628e+00 3.950387763e+00
1.230621242e+04 9.715085798e-01 1.062187520e+00 3.959196670e+00
1.234669339e+04 1.017102731e+00 1.014433552e+00 3.961466536e+00
1.238717435e+04 1.065692592e+00 9.697520501e-01 3.957219534e+00
1.242765531e+04 1.117326886e+00 9.280565676e-01 3.946503776e+00
1.246813627e+04 1.172041236e+00 8.892551057e-01 3.929393186e+00
1.250861723e+04 1.229855883e+00 8.532519214e-01 3.905987576e+00
1.254909820e+04 1.290773198e+00 8.199493512e-01 3.876412781e+00
1.258957916e+04 1.354775482e+00 7.892494549e-01 3.840820990e+00
1.263006012e+04 1.421822394e+00 7.610551284e-01 3.799390738e+00
1.267054108e+04 1.491849334e+00 7.352715609e-01 3.752327431e+00
1.271102204e+04 1.564765488e+00 7.118070137e-01 3.699862845e+00
