time            Cj              Br              Ap              Ck              Aq              Bs             
2.785571142e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.805611222e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.825651303e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.845691383e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.865731463e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.885771543e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.905811623e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.925851703e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.945891784e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.965931864e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.985971944e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.006012024e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.026052104e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.046092184e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.066132265e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.086172345e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.106212425e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.126252505e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.146292585e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.166332665e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
