time            Ak              Br              Cj             
6.091382766e+03 1.680060518e+00 3.529014314e+00 1.229953767e+00
6.111823647e+03 1.650032089e+00 3.530741716e+00 1.234189811e+00
6.132264529e+03 1.620530373e+00 3.531637895e+00 1.238672951e+00
6.152705411e+03 1.591555309e+00 3.531707125e+00 1.243396851e+00
6.173146293e+03 1.563106202e+00 3.530954439e+00 1.248355249e+00
6.193587174e+03 1.535181757e+00 3.529385630e+00 1.253541951e+00
6.214028056e+03 1.507780114e+00 3.527007197e+00 1.258950831e+00
6.234468938e+03 1.480898894e+00 3.523826336e+00 1.264575815e+00
6.254909820e+03 1.454535211e+00 3.519850887e+00 1.270410890e+00
6.275350701e+03 1.428685736e+00 3.515089329e+00 1.276450085e+00
6.295791583e+03 1.403346701e+00 3.509550745e+00 1.282687478e+00
6.316232465e+03 1.378513956e+00 3.503244787e+00 1.289117185e+00
6.336673347e+03 1.354182967e+00 3.496181636e+00 1.295733356e+00
6.357114228e+03 1.330348883e+00 3.488371992e+00 1.302530176e+00
6.377555110e+03 1.307006529e+00 3.479827042e+00 1.309501858e+00
6.397995992e+03 1.284150463e+00 3.470558422e+00 1.316642639e+00
6.418436874e+03 1.261774974e+00 3.460578201e+00 1.323946781e+00
6.438877756e+03 1.239874133e+00 3.449898842e+00 1.331408560e+00
6.459318637e+03 1.218441789e+00 3.438533182e+00 1.339022276e+00
6.479759519e+03 1.197471620e+00 3.426494398e+00 1.346782237e+00
6.500200401e+03 1.176957126e+00 3.413795993e+00 1.354682767e+00
6.520641283e+03 1.156891674e+00 3.400451756e+00 1.362718198e+00
6.541082164e+03 1.137268496e+00 3.386475746e+00 1.370882872e+00
6.561523046e+03 1.118080724e+00 3.371882265e+00 1.379171138e+00
6.581963928e+03 1.099321397e+00 3.356685836e+00 1.387577349e+00
6.602404810e+03 1.080983478e+00 3.340901175e+00 1.396095863e+00
6.622845691e+03 1.063059875e+00 3.324543173e+00 1.404721044e+00
6.643286573e+03 1.045543447e+00 3.307626873e+00 1.413447254e+00
6.663727455e+03 1.028427025e+00 3.290167445e+00 1.422268862e+00
6.684168337e+03 1.011703416e+00 3.272180172e+00 1.431180235e+00
6.704609218e+03 9.953654270e-01 3.253680424e+00 1.440175744e+00
6.725050100e+03 9.794058598e-01 3.234683645e+00 1.449249761e+00
6.745490982e+03 9.638175375e-01 3.215205324e+00 1.458396659e+00
6.765931864e+03 9.485932987e-01 3.195260991e+00 1.467610815e+00
6.786372745e+03 9.337260211e-01 3.174866187e+00 1.476886605e+00
