time            Cj              Br              Ak             
2.366332665e+03 2.570231903e+00 5.339353345e-01 2.283258319e+00
2.380761523e+03 2.520909856e+00 5.332000784e-01 2.334314978e+00
2.395190381e+03 2.471303448e+00 5.329740332e-01 2.385256970e+00
2.409619238e+03 2.421491749e+00 5.332559486e-01 2.436007425e+00
2.424048096e+03 2.371552703e+00 5.340452767e-01 2.486488933e+00
2.438476954e+03 2.321562846e+00 5.353421691e-01 2.536623844e+00
2.452905812e+03 2.271597044e+00 5.371474730e-01 2.586334563e+00
2.467334669e+03 2.221728209e+00 5.394627283e-01 2.635543846e+00
2.481763527e+03 2.172027082e+00 5.422901599e-01 2.684175079e+00
2.496192385e+03 2.122562011e+00 5.456326727e-01 2.732152568e+00
2.510621242e+03 2.073398720e+00 5.494938445e-01 2.779401810e+00
2.525050100e+03 2.024600159e+00 5.538779147e-01 2.825849690e+00
2.539478958e+03 1.976226319e+00 5.587897788e-01 2.871424798e+00
2.553907816e+03 1.928334147e+00 5.642349749e-01 2.916057613e+00
2.568336673e+03 1.880977372e+00 5.702196713e-01 2.959680641e+00
2.582765531e+03 1.834206441e+00 5.767506536e-01 3.002228625e+00
2.597194389e+03 1.788068473e+00 5.838353109e-01 3.043638754e+00
2.611623246e+03 1.742607185e+00 5.914816189e-01 3.083850759e+00
2.626052104e+03 1.697862875e+00 5.996981209e-01 3.122807037e+00
2.640480962e+03 1.653872424e+00 6.084939071e-01 3.160452705e+00
2.654909820e+03 1.610669359e+00 6.178785944e-01 3.196735745e+00
2.669338677e+03 1.568283836e+00 6.278623013e-01 3.231607010e+00
2.683767535e+03 1.526742723e+00 6.384556213e-01 3.265020281e+00
2.698196393e+03 1.486069666e+00 6.496695947e-01 3.296932290e+00
2.712625251e+03 1.446285182e+00 6.615156764e-01 3.327302720e+00
2.727054108e+03 1.407406759e+00 6.740057016e-01 3.356094199e+00
2.741482966e+03 1.369448961e+00 6.871518491e-01 3.383272281e+00
2.755911824e+03 1.332423556e+00 7.009666001e-01 3.408805416e+00
2.770340681e+03 1.296339637e+00 7.154626964e-01 3.432664917e+00
2.784769539e+03 1.261203759e+00 7.306530926e-01 3.454824902e+00
2.799198397e+03 1.227020084e+00 7.465509047e-01 3.475262249e+00
2.813627255e+03 1.193790513e+00 7.631693557e-01 3.493956525e+00
2.828056112e+03 1.161514840e+00 7.805217203e-01 3.510889949e+00
2.842484970e+03 1.130190905e+00 7.986212602e-01 3.526047322e+00
2.856913828e+03 1.099814704e+00 8.174811578e-01 3.539415937e+00
2.871342685e+03 1.070380596e+00 8.371144482e-01 3.550985589e+00
2.885771543e+03 1.041881391e+00 8.575339459e-01 3.560748452e+00
2.900200401e+03 1.014308461e+00 8.787521617e-01 3.568698995e+00
2.914629259e+03 9.876520524e-01 9.007812299e-01 3.574834127e+00
2.929058116e+03 9.619011404e-01 9.236328082e-01 3.579152846e+00
2.943486974e+03 9.370437959e-01 9.473180002e-01 3.581656468e+00
2.957915832e+03 9.130671822e-01 9.718472569e-01 3.582348442e+00
2.972344689e+03 8.899577141e-01 9.972302811e-01 3.581234374e+00
2.986773547e+03 8.677011872e-01 1.023475928e+00 3.578322023e+00
3.001202405e+03 8.462828091e-01 1.050592099e+00 3.573621196e+00
3.015631263e+03 8.256874084e-01 1.078585644e+00 3.567143856e+00
3.030060120e+03 8.058994215e-01 1.107462245e+00 3.558904000e+00
3.044488978e+03 7.869030703e-01 1.137226318e+00 3.548917746e+00
3.058917836e+03 7.686823806e-01 1.167880903e+00 3.537203272e+00
3.073346693e+03 7.512212986e-01 1.199427550e+00 3.523780847e+00
3.087775551e+03 7.345037447e-01 1.231866216e+00 3.508672830e+00
3.102204409e+03 7.185136878e-01 1.265195163e+00 3.491903675e+00
3.116633267e+03 7.032352004e-01 1.299410848e+00 3.473499933e+00
3.131062124e+03 6.886525284e-01 1.334507823e+00 3.453490269e+00
3.145490982e+03 6.747501222e-01 1.370478643e+00 3.431905445e+00
3.159919840e+03 6.615127098e-01 1.407313772e+00 3.408778345e+00
3.174348697e+03 6.489253191e-01 1.445001498e+00 3.384143945e+00
3.188777555e+03 6.369733246e-01 1.483527868e+00 3.358039325e+00
3.203206413e+03 6.256424806e-01 1.522876602e+00 3.330503635e+00
3.217635271e+03 6.149189593e-01 1.563029045e+00 3.301578083e+00
3.232064128e+03 6.047893710e-01 1.603964106e+00 3.271305895e+00
3.246492986e+03 5.952408007e-01 1.645658225e+00 3.239732282e+00
3.260921844e+03 5.862608090e-01 1.688085350e+00 3.206904374e+00
3.275350701e+03 5.778374865e-01 1.731216922e+00 3.172871196e+00
3.289779559e+03 5.699594381e-01 1.775021850e+00 3.137683542e+00
3.304208417e+03 5.626158091e-01 1.819466535e+00 3.101393919e+00
3.318637275e+03 5.557963078e-01 1.864514914e+00 3.064056464e+00
3.333066132e+03 5.494912092e-01 1.910128491e+00 3.025726832e+00
3.347494990e+03 5.436913589e-01 1.956266362e+00 2.986462054e+00
3.361923848e+03 5.383881973e-01 2.002885292e+00 2.946320436e+00
3.376352705e+03 5.335737511e-01 2.049939825e+00 2.905361414e+00
3.390781563e+03 5.292406414e-01 2.097382370e+00 2.863645406e+00
3.405210421e+03 5.253820900e-01 2.145163257e+00 2.821233648e+00
3.419639279e+03 5.219919271e-01 2.193230968e+00 2.778188065e+00
3.434068136e+03 5.190645856e-01 2.241532136e+00 2.734571017e+00
3.448496994e+03 5.165951070e-01 2.290011787e+00 2.690445202e+00
