time            C               ReactCC         ProduceCC       HelperCC       
3.094188377e+03 1.161341467e+02 -1.680063060e-22 9.986585335e+01 9.986585335e+01
3.110220441e+03 1.161341467e+02 -1.639968421e-22 9.986585335e+01 9.986585335e+01
3.126252505e+03 1.161341467e+02 -1.598845259e-22 9.986585335e+01 9.986585335e+01
3.142284569e+03 1.161341467e+02 -1.556693575e-22 9.986585335e+01 9.986585335e+01
3.158316633e+03 1.161341467e+02 -1.513513367e-22 9.986585335e+01 9.986585335e+01
3.174348697e+03 1.161341467e+02 -1.469304637e-22 9.986585335e+01 9.986585335e+01
3.190380762e+03 1.161341467e+02 -1.424067384e-22 9.986585335e+01 9.986585335e+01
3.206412826e+03 1.161341467e+02 -1.377801608e-22 9.986585335e+01 9.986585335e+01
3.222444890e+03 1.161341467e+02 -1.330507310e-22 9.986585335e+01 9.986585335e+01
3.238476954e+03 1.161341467e+02 -1.282184488e-22 9.986585335e+01 9.986585335e+01
3.254509018e+03 1.161341467e+02 -1.232833144e-22 9.986585335e+01 9.986585335e+01
3.270541082e+03 1.161341467e+02 -1.182453277e-22 9.986585335e+01 9.986585335e+01
3.286573146e+03 1.161341467e+02 -1.131044887e-22 9.986585335e+01 9.986585335e+01
3.302605210e+03 1.161341467e+02 -1.078607974e-22 9.986585335e+01 9.986585335e+01
3.318637275e+03 1.161341467e+02 -1.025142539e-22 9.986585335e+01 9.986585335e+01
3.334669339e+03 1.161341467e+02 -9.706485806e-23 9.986585335e+01 9.986585335e+01
3.350701403e+03 1.161341467e+02 -9.151260995e-23 9.986585335e+01 9.986585335e+01
3.366733467e+03 1.161341467e+02 -8.585750955e-23 9.986585335e+01 9.986585335e+01
3.382765531e+03 1.161341467e+02 -8.009955688e-23 9.986585335e+01 9.986585335e+01
3.398797595e+03 1.161341467e+02 -7.423875192e-23 9.986585335e+01 9.986585335e+01
3.414829659e+03 1.161341467e+02 -6.827509468e-23 9.986585335e+01 9.986585335e+01
3.430861723e+03 1.161341467e+02 -6.220858516e-23 9.986585335e+01 9.986585335e+01
3.446893788e+03 1.161341467e+02 -5.603922335e-23 9.986585335e+01 9.986585335e+01
3.462925852e+03 1.161341467e+02 -4.976700927e-23 9.986585335e+01 9.986585335e+01
3.478957916e+03 1.161341467e+02 -4.339194290e-23 9.986585335e+01 9.986585335e+01
3.494989980e+03 1.161341467e+02 -3.691402425e-23 9.986585335e+01 9.986585335e+01
3.511022044e+03 1.161341467e+02 -3.033325332e-23 9.986585335e+01 9.986585335e+01
3.527054108e+03 1.161341467e+02 -2.364963011e-23 9.986585335e+01 9.986585335e+01
3.543086172e+03 1.161341467e+02 -1.686315462e-23 9.986585335e+01 9.986585335e+01
3.559118236e+03 1.161341467e+02 -9.973826841e-24 9.986585335e+01 9.986585335e+01
3.575150301e+03 1.161341467e+02 -2.981646784e-24 9.986585335e+01 9.986585335e+01
3.591182365e+03 1.161341467e+02 1.165380828e-22 9.986585335e+01 9.986585335e+01
3.607214429e+03 1.161341467e+02 1.147547230e-22 9.986585335e+01 9.986585335e+01
3.623246493e+03 1.161341467e+02 1.129713631e-22 9.986585335e+01 9.986585335e+01
3.639278557e+03 1.161341467e+02 1.111880032e-22 9.986585335e+01 9.986585335e+01
3.655310621e+03 1.161341467e+02 1.094046434e-22 9.986585335e+01 9.986585335e+01
3.671342685e+03 1.161341467e+02 1.076212835e-22 9.986585335e+01 9.986585335e+01
3.687374749e+03 1.161341467e+02 1.058379236e-22 9.986585335e+01 9.986585335e+01
3.703406814e+03 1.161341467e+02 1.040545638e-22 9.986585335e+01 9.986585335e+01
3.719438878e+03 1.161341467e+02 1.022712039e-22 9.986585335e+01 9.986585335e+01
3.735470942e+03 1.161341467e+02 1.004878441e-22 9.986585335e+01 9.986585335e+01
3.751503006e+03 1.161341467e+02 9.870448419e-23 9.986585335e+01 9.986585335e+01
3.767535070e+03 1.161341467e+02 9.692112433e-23 9.986585335e+01 9.986585335e+01
3.783567134e+03 1.161341467e+02 9.513776447e-23 9.986585335e+01 9.986585335e+01
3.799599198e+03 1.161341467e+02 9.335440460e-23 9.986585335e+01 9.986585335e+01
3.815631263e+03 1.161341467e+02 9.157104474e-23 9.986585335e+01 9.986585335e+01
3.831663327e+03 1.161341467e+02 8.978768488e-23 9.986585335e+01 9.986585335e+01
3.847695391e+03 1.161341467e+02 8.800432502e-23 9.986585335e+01 9.986585335e+01
3.863727455e+03 1.161341467e+02 8.622096516e-23 9.986585335e+01 9.986585335e+01
3.879759519e+03 1.161341467e+02 8.443760529e-23 9.986585335e+01 9.986585335e+01
3.895791583e+03 1.161341467e+02 8.265424543e-23 9.986585335e+01 9.986585335e+01
3.911823647e+03 1.161341467e+02 8.087088557e-23 9.986585335e+01 9.986585335e+01
3.927855711e+03 1.161341467e+02 7.908752571e-23 9.986585335e+01 9.986585335e+01
3.943887776e+03 1.161341467e+02 7.730416584e-23 9.986585335e+01 9.986585335e+01
3.959919840e+03 1.161341467e+02 7.552080598e-23 9.986585335e+01 9.986585335e+01
3.975951904e+03 1.161341467e+02 7.373744612e-23 9.986585335e+01 9.986585335e+01
3.991983968e+03 1.161341467e+02 7.195408626e-23 9.986585335e+01 9.986585335e+01
4.008016032e+03 1.161341467e+02 7.017072640e-23 9.986585335e+01 9.986585335e+01
4.024048096e+03 1.161341467e+02 6.838736653e-23 9.986585335e+01 9.986585335e+01
4.040080160e+03 1.161341467e+02 6.660400667e-23 9.986585335e+01 9.986585335e+01
4.056112224e+03 1.161341467e+02 6.482064681e-23 9.986585335e+01 9.986585335e+01
4.072144289e+03 1.161341467e+02 6.303728695e-23 9.986585335e+01 9.986585335e+01
4.088176353e+03 1.161341467e+02 6.125392708e-23 9.986585335e+01 9.986585335e+01
4.104208417e+03 1.161341467e+02 5.947056722e-23 9.986585335e+01 9.986585335e+01
4.120240481e+03 1.161341467e+02 5.768720736e-23 9.986585335e+01 9.986585335e+01
4.136272545e+03 1.161341467e+02 5.590384750e-23 9.986585335e+01 9.986585335e+01
4.152304609e+03 1.161341467e+02 5.412048764e-23 9.986585335e+01 9.986585335e+01
4.168336673e+03 1.161341467e+02 5.233712777e-23 9.986585335e+01 9.986585335e+01
4.184368737e+03 1.161341467e+02 5.055376791e-23 9.986585335e+01 9.986585335e+01
4.200400802e+03 1.161341467e+02 4.877040805e-23 9.986585335e+01 9.986585335e+01
4.216432866e+03 1.161341467e+02 4.698704819e-23 9.986585335e+01 9.986585335e+01
4.232464930e+03 1.161341467e+02 4.520368832e-23 9.986585335e+01 9.986585335e+01
4.248496994e+03 1.161341467e+02 4.342032846e-23 9.986585335e+01 9.986585335e+01
4.264529058e+03 1.161341467e+02 4.163696860e-23 9.986585335e+01 9.986585335e+01
4.280561122e+03 1.161341467e+02 3.985360874e-23 9.986585335e+01 9.986585335e+01
4.296593186e+03 1.161341467e+02 3.807024888e-23 9.986585335e+01 9.986585335e+01
4.312625251e+03 1.161341467e+02 3.628688901e-23 9.986585335e+01 9.986585335e+01
4.328657315e+03 1.161341467e+02 3.450352915e-23 9.986585335e+01 9.986585335e+01
4.344689379e+03 1.161341467e+02 3.272016929e-23 9.986585335e+01 9.986585335e+01
4.360721443e+03 1.161341467e+02 3.093680943e-23 9.986585335e+01 9.986585335e+01
4.376753507e+03 1.161341467e+02 2.915344956e-23 9.986585335e+01 9.986585335e+01
4.392785571e+03 1.161341467e+02 2.737008970e-23 9.986585335e+01 9.986585335e+01
4.408817635e+03 1.161341467e+02 2.558672984e-23 9.986585335e+01 9.986585335e+01
4.424849699e+03 1.161341467e+02 2.380336998e-23 9.986585335e+01 9.986585335e+01
4.440881764e+03 1.161341467e+02 2.202001012e-23 9.986585335e+01 9.986585335e+01
4.456913828e+03 1.161341467e+02 2.023665025e-23 9.986585335e+01 9.986585335e+01
4.472945892e+03 1.161341467e+02 1.845329039e-23 9.986585335e+01 9.986585335e+01
4.488977956e+03 1.161341467e+02 1.666993053e-23 9.986585335e+01 9.986585335e+01
4.505010020e+03 1.161341467e+02 1.488657067e-23 9.986585335e+01 9.986585335e+01
4.521042084e+03 1.161341467e+02 1.310321080e-23 9.986585335e+01 9.986585335e+01
4.537074148e+03 1.161341467e+02 1.131985094e-23 9.986585335e+01 9.986585335e+01
4.553106212e+03 1.161341467e+02 9.536491080e-24 9.986585335e+01 9.986585335e+01
4.569138277e+03 1.161341467e+02 7.753131218e-24 9.986585335e+01 9.986585335e+01
4.585170341e+03 1.161341467e+02 5.969771356e-24 9.986585335e+01 9.986585335e+01
4.601202405e+03 1.161341467e+02 4.186411493e-24 9.986585335e+01 9.986585335e+01
4.617234469e+03 1.161341467e+02 2.403051631e-24 9.986585335e+01 9.986585335e+01
4.633266533e+03 1.161341467e+02 6.196917689e-25 9.986585335e+01 9.986585335e+01
4.649298597e+03 1.161341467e+02 4.584285358e-25 9.986585335e+01 9.986585335e+01
4.665330661e+03 1.161341467e+02 4.577324679e-25 9.986585335e+01 9.986585335e+01
4.681362725e+03 1.161341467e+02 4.570363999e-25 9.986585335e+01 9.986585335e+01
4.697394790e+03 1.161341467e+02 4.563403320e-25 9.986585335e+01 9.986585335e+01
4.713426854e+03 1.161341467e+02 4.556442641e-25 9.986585335e+01 9.986585335e+01
4.729458918e+03 1.161341467e+02 4.549481961e-25 9.986585335e+01 9.986585335e+01
4.745490982e+03 1.161341467e+02 4.542521282e-25 9.986585335e+01 9.986585335e+01
4.761523046e+03 1.161341467e+02 4.535560603e-25 9.986585335e+01 9.986585335e+01
4.777555110e+03 1.161341467e+02 4.528599923e-25 9.986585335e+01 9.986585335e+01
4.793587174e+03 1.161341467e+02 4.521639244e-25 9.986585335e+01 9.986585335e+01
4.809619238e+03 1.161341467e+02 4.514678565e-25 9.986585335e+01 9.986585335e+01
4.825651303e+03 1.161341467e+02 4.507717885e-25 9.986585335e+01 9.986585335e+01
4.841683367e+03 1.161341467e+02 4.500757206e-25 9.986585335e+01 9.986585335e+01
4.857715431e+03 1.161341467e+02 4.493796527e-25 9.986585335e+01 9.986585335e+01
4.873747495e+03 1.161341467e+02 4.486835847e-25 9.986585335e+01 9.986585335e+01
4.889779559e+03 1.161341467e+02 4.479875168e-25 9.986585335e+01 9.986585335e+01
4.905811623e+03 1.161341467e+02 4.472914489e-25 9.986585335e+01 9.986585335e+01
4.921843687e+03 1.161341467e+02 4.465953809e-25 9.986585335e+01 9.986585335e+01
