time            Cj              Ck             
4.310621242e+02 4.430045165e+01 4.858363367e+01
4.328657315e+02 4.431603308e+01 4.860161606e+01
4.346693387e+02 4.433148856e+01 4.861944815e+01
4.364729459e+02 4.434681972e+01 4.863713194e+01
4.382765531e+02 4.436202817e+01 4.865466940e+01
4.400801603e+02 4.437711549e+01 4.867206246e+01
4.418837675e+02 4.439208325e+01 4.868931302e+01
4.436873747e+02 4.440693295e+01 4.870642294e+01
4.454909820e+02 4.442166612e+01 4.872339406e+01
4.472945892e+02 4.443628423e+01 4.874022816e+01
4.490981964e+02 4.445078871e+01 4.875692703e+01
4.509018036e+02 4.446518100e+01 4.877349238e+01
4.527054108e+02 4.447946249e+01 4.878992593e+01
4.545090180e+02 4.449363457e+01 4.880622935e+01
4.563126253e+02 4.450769857e+01 4.882240429e+01
4.581162325e+02 4.452165584e+01 4.883845236e+01
4.599198397e+02 4.453550767e+01 4.885437514e+01
4.617234469e+02 4.454925536e+01 4.887017421e+01
4.635270541e+02 4.456290015e+01 4.888585110e+01
4.653306613e+02 4.457644330e+01 4.890140732e+01
4.671342685e+02 4.458988604e+01 4.891684435e+01
4.689378758e+02 4.460322954e+01 4.893216366e+01
4.707414830e+02 4.461647501e+01 4.894736666e+01
4.725450902e+02 4.462962360e+01 4.896245479e+01
4.743486974e+02 4.464267647e+01 4.897742944e+01
4.761523046e+02 4.465563472e+01 4.899229195e+01
4.779559118e+02 4.466849948e+01 4.900704368e+01
4.797595190e+02 4.468127183e+01 4.902168595e+01
4.815631263e+02 4.469395284e+01 4.903622005e+01
4.833667335e+02 4.470654357e+01 4.905064727e+01
4.851703407e+02 4.471904505e+01 4.906496886e+01
4.869739479e+02 4.473145831e+01 4.907918606e+01
4.887775551e+02 4.474378435e+01 4.909330008e+01
4.905811623e+02 4.475602415e+01 4.910731213e+01
4.923847695e+02 4.476817871e+01 4.912122337e+01
4.941883768e+02 4.478024896e+01 4.913503498e+01
4.959919840e+02 4.479223586e+01 4.914874809e+01
4.977955912e+02 4.480414034e+01 4.916236382e+01
4.995991984e+02 4.481596331e+01 4.917588328e+01
5.014028056e+02 4.482770566e+01 4.918930757e+01
5.032064128e+02 4.483936830e+01 4.920263775e+01
5.050100200e+02 4.485095210e+01 4.921587488e+01
5.068136273e+02 4.486245791e+01 4.922902000e+01
5.086172345e+02 4.487388658e+01 4.924207413e+01
5.104208417e+02 4.488523895e+01 4.925503828e+01
5.122244489e+02 4.489651585e+01 4.926791345e+01
5.140280561e+02 4.490771808e+01 4.928070061e+01
5.158316633e+02 4.491884644e+01 4.929340073e+01
5.176352705e+02 4.492990172e+01 4.930601475e+01
5.194388778e+02 4.494088470e+01 4.931854361e+01
5.212424850e+02 4.495179615e+01 4.933098824e+01
5.230460922e+02 4.496263680e+01 4.934334953e+01
