time            Ap              Aq              Br              Bs              Yi              Yj             
7.695390782e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.715430862e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.735470942e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.755511022e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.775551102e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.795591182e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.815631263e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.835671343e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.855711423e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.875751503e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.895791583e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.915831663e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.935871743e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.955911824e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.975951904e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
7.995991984e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.016032064e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.036072144e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.056112224e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.076152305e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.096192385e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.116232465e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.136272545e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.156312625e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.176352705e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.196392786e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.216432866e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.236472946e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.256513026e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.276553106e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.296593186e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.316633267e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.336673347e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.356713427e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.376753507e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.396793587e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.416833667e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.436873747e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.456913828e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
