time            X1              X2              Y1             
2.985971944e+02 2.431998924e+00 1.321763909e+00 7.126764171e-01
3.006012024e+02 2.434085153e+00 1.325438366e+00 7.023964736e-01
3.026052104e+02 2.436147335e+00 1.329063854e+00 6.922495611e-01
3.046092184e+02 2.438185606e+00 1.332640892e+00 6.822343925e-01
3.066132265e+02 2.440200104e+00 1.336170008e+00 6.723496809e-01
3.086172345e+02 2.442190976e+00 1.339651738e+00 6.625941396e-01
3.106212425e+02 2.444158377e+00 1.343086611e+00 6.529664825e-01
3.126252505e+02 2.446102454e+00 1.346475112e+00 6.434654251e-01
3.146292585e+02 2.448023362e+00 1.349817761e+00 6.340896843e-01
3.166332665e+02 2.449921258e+00 1.353115070e+00 6.248379789e-01
3.186372745e+02 2.451796304e+00 1.356367547e+00 6.157090302e-01
3.206412826e+02 2.453648662e+00 1.359575698e+00 6.067015619e-01
3.226452906e+02 2.455478498e+00 1.362740025e+00 5.978143017e-01
3.246492986e+02 2.457285979e+00 1.365861026e+00 5.890459789e-01
3.266533066e+02 2.459071274e+00 1.368939199e+00 5.803953282e-01
3.286573146e+02 2.460834556e+00 1.371975036e+00 5.718610864e-01
3.306613226e+02 2.462575998e+00 1.374969029e+00 5.634419968e-01
3.326653307e+02 2.464295775e+00 1.377921666e+00 5.551368051e-01
3.346693387e+02 2.465994067e+00 1.380833429e+00 5.469442636e-01
3.366733467e+02 2.467671050e+00 1.383704790e+00 5.388631278e-01
3.386773547e+02 2.469326904e+00 1.386536236e+00 5.308921609e-01
3.406813627e+02 2.470961809e+00 1.389328244e+00 5.230301305e-01
3.426853707e+02 2.472575949e+00 1.392081277e+00 5.152758103e-01
3.446893788e+02 2.474169506e+00 1.394795806e+00 5.076279800e-01
3.466933868e+02 2.475742664e+00 1.397472293e+00 5.000854256e-01
3.486973948e+02 2.477295609e+00 1.400111199e+00 4.926469396e-01
3.507014028e+02 2.478828527e+00 1.402712981e+00 4.853113212e-01
3.527054108e+02 2.480341603e+00 1.405278090e+00 4.780773773e-01
3.547094188e+02 2.481835025e+00 1.407806976e+00 4.709439232e-01
3.567134269e+02 2.483308980e+00 1.410300086e+00 4.639097752e-01
3.587174349e+02 2.484763654e+00 1.412757861e+00 4.569737649e-01
3.607214429e+02 2.486199236e+00 1.415180742e+00 4.501347241e-01
3.627254509e+02 2.487615914e+00 1.417569163e+00 4.433914995e-01
3.647294589e+02 2.489013877e+00 1.419923560e+00 4.367429392e-01
3.667334669e+02 2.490393319e+00 1.422244348e+00 4.301879016e-01
3.687374749e+02 2.491754421e+00 1.424531964e+00 4.237252565e-01
3.707414830e+02 2.493097371e+00 1.426786821e+00 4.173538795e-01
3.727454910e+02 2.494422357e+00 1.429009338e+00 4.110726546e-01
3.747494990e+02 2.495729568e+00 1.431199926e+00 4.048804744e-01
3.767535070e+02 2.497019192e+00 1.433358993e+00 3.987762401e-01
3.787575150e+02 2.498291414e+00 1.435486945e+00 3.927588613e-01
3.807615230e+02 2.499546423e+00 1.437584183e+00 3.868272570e-01
3.827655311e+02 2.500784403e+00 1.439651103e+00 3.809803551e-01
3.847695391e+02 2.502005540e+00 1.441688100e+00 3.752170908e-01
3.867735471e+02 2.503210019e+00 1.443695563e+00 3.695364090e-01
