time            sBr             sCj            
3.477354709e+03 3.942970983e+00 2.594437946e-02
3.491783567e+03 3.940909108e+00 2.688531779e-02
3.506212425e+03 3.938773727e+00 2.786002942e-02
3.520641283e+03 3.936562295e+00 2.886969979e-02
3.535070140e+03 3.934272185e+00 2.991555535e-02
3.549498998e+03 3.931900682e+00 3.099886428e-02
3.563927856e+03 3.929444989e+00 3.212093432e-02
3.578356713e+03 3.926902217e+00 3.328311714e-02
3.592785571e+03 3.924269384e+00 3.448681246e-02
3.607214429e+03 3.921543416e+00 3.573346184e-02
3.621643287e+03 3.918721143e+00 3.702455491e-02
3.636072144e+03 3.915799294e+00 3.836163143e-02
3.650501002e+03 3.912774496e+00 3.974628097e-02
3.664929860e+03 3.909643275e+00 4.118014255e-02
3.679358717e+03 3.906402050e+00 4.266490852e-02
3.693787575e+03 3.903047128e+00 4.420232794e-02
3.708216433e+03 3.899574711e+00 4.579420201e-02
3.722645291e+03 3.895980882e+00 4.744238961e-02
3.737074148e+03 3.892261612e+00 4.914880966e-02
3.751503006e+03 3.888412752e+00 5.091544016e-02
3.765931864e+03 3.884430031e+00 5.274431949e-02
3.780360721e+03 3.880309060e+00 5.463754950e-02
3.794789579e+03 3.876045320e+00 5.659729765e-02
3.809218437e+03 3.871634169e+00 5.862579530e-02
3.823647295e+03 3.867070831e+00 6.072534156e-02
3.838076152e+03 3.862350405e+00 6.289830497e-02
3.852505010e+03 3.857467855e+00 6.514712370e-02
3.866933868e+03 3.852418004e+00 6.747430758e-02
3.881362725e+03 3.847195546e+00 6.988243945e-02
3.895791583e+03 3.841795037e+00 7.237417632e-02
3.910220441e+03 3.836210889e+00 7.495225145e-02
3.924649299e+03 3.830437379e+00 7.761947512e-02
3.939078156e+03 3.824468641e+00 8.037873623e-02
3.953507014e+03 3.818298666e+00 8.323300395e-02
3.967935872e+03 3.811921306e+00 8.618532579e-02
3.982364729e+03 3.805330268e+00 8.923883284e-02
3.996793587e+03 3.798519113e+00 9.239673931e-02
4.011222445e+03 3.791481272e+00 9.566233979e-02
4.025651303e+03 3.784210021e+00 9.903901664e-02
4.040080160e+03 3.776698498e+00 1.025302370e-01
4.054509018e+03 3.768939711e+00 1.061395541e-01
4.068937876e+03 3.760926522e+00 1.098706090e-01
