time            shCj            shCk            shBr           
3.346693387e+03 4.575153905e+00 2.534899467e+00 5.361939876e-01
3.356713427e+03 4.576496424e+00 2.537314952e+00 5.322760374e-01
3.366733467e+03 4.577830386e+00 2.539713470e+00 5.283847257e-01
3.376753507e+03 4.579155828e+00 2.542095130e+00 5.245199004e-01
3.386773547e+03 4.580472791e+00 2.544460034e+00 5.206814100e-01
3.396793587e+03 4.581781315e+00 2.546808289e+00 5.168691035e-01
3.406813627e+03 4.583081439e+00 2.549139998e+00 5.130828301e-01
3.416833667e+03 4.584373203e+00 2.551455265e+00 5.093224396e-01
3.426853707e+03 4.585656648e+00 2.553754194e+00 5.055877811e-01
3.436873747e+03 4.586931812e+00 2.556036887e+00 5.018787061e-01
3.446893788e+03 4.588198737e+00 2.558303447e+00 4.981950657e-01
3.456913828e+03 4.589457461e+00 2.560553975e+00 4.945367115e-01
3.466933868e+03 4.590708025e+00 2.562788574e+00 4.909034957e-01
3.476953908e+03 4.591950469e+00 2.565007343e+00 4.872952710e-01
3.486973948e+03 4.593184832e+00 2.567210384e+00 4.837118905e-01
3.496993988e+03 4.594411154e+00 2.569397796e+00 4.801532078e-01
3.507014028e+03 4.595629477e+00 2.571569679e+00 4.766190759e-01
3.517034068e+03 4.596839840e+00 2.573726133e+00 4.731093502e-01
3.527054108e+03 4.598042282e+00 2.575867255e+00 4.696238856e-01
3.537074148e+03 4.599236844e+00 2.577993144e+00 4.661625379e-01
3.547094188e+03 4.600423566e+00 2.580103898e+00 4.627251632e-01
3.557114228e+03 4.601602488e+00 2.582199613e+00 4.593116181e-01
3.567134269e+03 4.602773648e+00 2.584280387e+00 4.559217598e-01
3.577154309e+03 4.603937089e+00 2.586346316e+00 4.525554462e-01
3.587174349e+03 4.605092848e+00 2.588397496e+00 4.492125345e-01
3.597194389e+03 4.606240967e+00 2.590434021e+00 4.458928839e-01
3.607214429e+03 4.607381485e+00 2.592455986e+00 4.425963538e-01
3.617234469e+03 4.608514441e+00 2.594463487e+00 4.393228040e-01
3.627254509e+03 4.609639876e+00 2.596456617e+00 4.360720948e-01
3.637274549e+03 4.610757829e+00 2.598435469e+00 4.328440873e-01
3.647294589e+03 4.611868339e+00 2.600400136e+00 4.296386428e-01
3.657314629e+03 4.612971447e+00 2.602350712e+00 4.264556235e-01
3.667334669e+03 4.614067191e+00 2.604287286e+00 4.232948913e-01
3.677354709e+03 4.615155611e+00 2.606209952e+00 4.201563095e-01
3.687374749e+03 4.616236747e+00 2.608118799e+00 4.170397419e-01
3.697394790e+03 4.617310637e+00 2.610013919e+00 4.139450527e-01
3.707414830e+03 4.618377320e+00 2.611895402e+00 4.108721068e-01
3.717434870e+03 4.619436837e+00 2.613763337e+00 4.078207695e-01
3.727454910e+03 4.620489225e+00 2.615617813e+00 4.047909067e-01
3.737474950e+03 4.621534524e+00 2.617458918e+00 4.017823851e-01
3.747494990e+03 4.622572773e+00 2.619286743e+00 3.987950710e-01
3.757515030e+03 4.623604013e+00 2.621101374e+00 3.958288322e-01
3.767535070e+03 4.624628280e+00 2.622902899e+00 3.928835371e-01
3.777555110e+03 4.625645615e+00 2.624691404e+00 3.899590544e-01
3.787575150e+03 4.626656054e+00 2.626466975e+00 3.870552535e-01
3.797595190e+03 4.627659638e+00 2.628229700e+00 3.841720043e-01
3.807615230e+03 4.628656405e+00 2.629979663e+00 3.813091773e-01
3.817635271e+03 4.629646393e+00 2.631716949e+00 3.784666438e-01
3.827655311e+03 4.630629640e+00 2.633441643e+00 3.756442747e-01
