time            Cj              Ck              Br             
1.611222445e+02 1.181071683e+01 4.733265915e+00 2.434383649e-01
1.617234469e+02 1.181256124e+01 4.735927193e+00 2.395105825e-01
1.623246493e+02 1.181437789e+01 4.738547526e+00 2.356452271e-01
1.629258517e+02 1.181616717e+01 4.741127505e+00 2.318413362e-01
1.635270541e+02 1.181792945e+01 4.743667717e+00 2.280979613e-01
1.641282565e+02 1.181966511e+01 4.746168739e+00 2.244141674e-01
1.647294589e+02 1.182137452e+01 4.748631141e+00 2.207890331e-01
1.653306613e+02 1.182305804e+01 4.751055486e+00 2.172216505e-01
1.659318637e+02 1.182471604e+01 4.753442329e+00 2.137111247e-01
1.665330661e+02 1.182634887e+01 4.755792222e+00 2.102565699e-01
1.671342685e+02 1.182795689e+01 4.758105701e+00 2.068571290e-01
1.677354709e+02 1.182954044e+01 4.760383305e+00 2.035119369e-01
1.683366733e+02 1.183109988e+01 4.762625561e+00 2.002201514e-01
1.689378758e+02 1.183263553e+01 4.764832990e+00 1.969809419e-01
1.695390782e+02 1.183414774e+01 4.767006107e+00 1.937934897e-01
1.701402806e+02 1.183563685e+01 4.769145417e+00 1.906569883e-01
1.707414830e+02 1.183710318e+01 4.771251422e+00 1.875706430e-01
1.713426854e+02 1.183854705e+01 4.773324614e+00 1.845336710e-01
1.719438878e+02 1.183996880e+01 4.775365480e+00 1.815453009e-01
1.725450902e+02 1.184136872e+01 4.777374501e+00 1.786047727e-01
1.731462926e+02 1.184274715e+01 4.779352151e+00 1.757113382e-01
1.737474950e+02 1.184410439e+01 4.781298896e+00 1.728642603e-01
1.743486974e+02 1.184544073e+01 4.783215199e+00 1.700628120e-01
1.749498998e+02 1.184675650e+01 4.785101516e+00 1.673062781e-01
1.755511022e+02 1.184805197e+01 4.786958295e+00 1.645939544e-01
1.761523046e+02 1.184932746e+01 4.788785978e+00 1.619251460e-01
1.767535070e+02 1.185058324e+01 4.790585003e+00 1.592991693e-01
1.773547094e+02 1.185181961e+01 4.792355800e+00 1.567153514e-01
1.779559118e+02 1.185303684e+01 4.794098794e+00 1.541730284e-01
1.785571142e+02 1.185423522e+01 4.795814404e+00 1.516715471e-01
1.791583166e+02 1.185541503e+01 4.797503042e+00 1.492102645e-01
1.797595190e+02 1.185657653e+01 4.799165117e+00 1.467885468e-01
1.803607214e+02 1.185772000e+01 4.800801030e+00 1.444057697e-01
1.809619238e+02 1.185884570e+01 4.802411178e+00 1.420613187e-01
1.815631263e+02 1.185995389e+01 4.803995951e+00 1.397545883e-01
1.821643287e+02 1.186104483e+01 4.805555735e+00 1.374849828e-01
1.827655311e+02 1.186211878e+01 4.807090908e+00 1.352519150e-01
1.833667335e+02 1.186317599e+01 4.808601846e+00 1.330548068e-01
1.839679359e+02 1.186421670e+01 4.810088918e+00 1.308930893e-01
1.845691383e+02 1.186524117e+01 4.811552487e+00 1.287662017e-01
1.851703407e+02 1.186624963e+01 4.812992912e+00 1.266735923e-01
1.857715431e+02 1.186724232e+01 4.814410548e+00 1.246147172e-01
1.863727455e+02 1.186821947e+01 4.815805742e+00 1.225890416e-01
1.869739479e+02 1.186918133e+01 4.817178839e+00 1.205960385e-01
1.875751503e+02 1.187012812e+01 4.818530177e+00 1.186351883e-01
1.881763527e+02 1.187106006e+01 4.819860090e+00 1.167059800e-01
1.887775551e+02 1.187197738e+01 4.821168908e+00 1.148079110e-01
1.893787575e+02 1.187288029e+01 4.822456954e+00 1.129404866e-01
1.899799599e+02 1.187376902e+01 4.823724548e+00 1.111032197e-01
1.905811623e+02 1.187464378e+01 4.824972004e+00 1.092956311e-01
1.911823647e+02 1.187550477e+01 4.826199633e+00 1.075172479e-01
1.917835671e+02 1.187635221e+01 4.827407742e+00 1.057676046e-01
1.923847695e+02 1.187718631e+01 4.828596630e+00 1.040462431e-01
1.929859719e+02 1.187800725e+01 4.829766597e+00 1.023527117e-01
1.935871743e+02 1.187881525e+01 4.830917935e+00 1.006865660e-01
1.941883768e+02 1.187961051e+01 4.832050933e+00 9.904736760e-02
1.947895792e+02 1.188039320e+01 4.833165875e+00 9.743468603e-02
1.953907816e+02 1.188116353e+01 4.834263041e+00 9.584809931e-02
