time            Cj              shCj           
3.847695391e+02 1.494176397e+00 1.130295616e-01
3.867735471e+02 1.493408406e+00 1.122651602e-01
3.887775551e+02 1.492645999e+00 1.115063162e-01
3.907815631e+02 1.491889129e+00 1.107529839e-01
3.927855711e+02 1.491137752e+00 1.100051189e-01
3.947895792e+02 1.490391822e+00 1.092626758e-01
3.967935872e+02 1.489651294e+00 1.085256100e-01
3.987975952e+02 1.488916125e+00 1.077938776e-01
4.008016032e+02 1.488186269e+00 1.070674347e-01
4.028056112e+02 1.487461684e+00 1.063462381e-01
4.048096192e+02 1.486742326e+00 1.056302448e-01
4.068136273e+02 1.486028157e+00 1.049194153e-01
4.088176353e+02 1.485319131e+00 1.042137061e-01
4.108216433e+02 1.484615209e+00 1.035130758e-01
4.128256513e+02 1.483916347e+00 1.028174833e-01
4.148296593e+02 1.483222506e+00 1.021268880e-01
4.168336673e+02 1.482533645e+00 1.014412497e-01
4.188376754e+02 1.481849724e+00 1.007605286e-01
4.208416834e+02 1.481170703e+00 1.000846853e-01
4.228456914e+02 1.480496544e+00 9.941368094e-02
4.248496994e+02 1.479827208e+00 9.874747665e-02
4.268537074e+02 1.479162656e+00 9.808603420e-02
4.288577154e+02 1.478502850e+00 9.742931570e-02
4.308617234e+02 1.477847753e+00 9.677728361e-02
4.328657315e+02 1.477197327e+00 9.612990076e-02
4.348697395e+02 1.476551535e+00 9.548712977e-02
4.368737475e+02 1.475910339e+00 9.484893396e-02
4.388777555e+02 1.475273704e+00 9.421527734e-02
4.408817635e+02 1.474641594e+00 9.358612399e-02
4.428857715e+02 1.474013972e+00 9.296143832e-02
4.448897796e+02 1.473390804e+00 9.234118503e-02
4.468937876e+02 1.472772054e+00 9.172532914e-02
4.488977956e+02 1.472157687e+00 9.111383603e-02
4.509018036e+02 1.471547669e+00 9.050667136e-02
4.529058116e+02 1.470941966e+00 8.990380104e-02
4.549098196e+02 1.470340542e+00 8.930519130e-02
4.569138277e+02 1.469743366e+00 8.871080865e-02
4.589178357e+02 1.469150403e+00 8.812061988e-02
4.609218437e+02 1.468561620e+00 8.753459208e-02
4.629258517e+02 1.467976984e+00 8.695269291e-02
4.649298597e+02 1.467396465e+00 8.637489124e-02
4.669338677e+02 1.466820030e+00 8.580115441e-02
4.689378758e+02 1.466247647e+00 8.523145081e-02
4.709418838e+02 1.465679284e+00 8.466574914e-02
4.729458918e+02 1.465114911e+00 8.410401838e-02
4.749498998e+02 1.464554495e+00 8.354622781e-02
4.769539078e+02 1.463998007e+00 8.299234699e-02
4.789579158e+02 1.463445418e+00 8.244234623e-02
4.809619238e+02 1.462896697e+00 8.189619545e-02
4.829659319e+02 1.462351814e+00 8.135386509e-02
4.849699399e+02 1.461810741e+00 8.081532589e-02
4.869739479e+02 1.461273447e+00 8.028054889e-02
4.889779559e+02 1.460739905e+00 7.974950538e-02
