time            Ap              Br              Cj              Aq              Bs              Ck             
1.178356713e+04 1.603772360e+00 4.126426132e+00 5.193644509e+00 1.600823213e+00 4.136192322e+00 5.185331264e+00
1.185370741e+04 1.657944320e+00 3.809496233e+00 5.460351224e+00 1.654200824e+00 3.818477116e+00 5.453900484e+00
1.192384770e+04 1.735003282e+00 3.504765677e+00 5.692173816e+00 1.730414512e+00 3.512891161e+00 5.687832437e+00
1.199398798e+04 1.835667021e+00 3.217643802e+00 5.882757323e+00 1.830181261e+00 3.224877028e+00 5.880678397e+00
1.206412826e+04 1.960724108e+00 2.952182463e+00 6.027033956e+00 1.954294689e+00 2.958513176e+00 6.027270142e+00
1.213426854e+04 2.110889957e+00 2.711127927e+00 6.121347370e+00 2.103482672e+00 2.716565614e+00 6.123852869e+00
1.220440882e+04 2.286632180e+00 2.496066250e+00 6.163507751e+00 2.278234169e+00 2.500633563e+00 6.168147546e+00
1.227454910e+04 2.487971468e+00 2.307627273e+00 6.152803768e+00 2.478601206e+00 2.311354096e+00 6.159368117e+00
1.234468938e+04 2.714270511e+00 2.145713770e+00 6.089991043e+00 2.703988117e+00 2.148632138e+00 6.098213078e+00
1.241482966e+04 2.964030829e+00 2.009728511e+00 5.977264423e+00 2.952947499e+00 2.011868438e+00 5.986838944e+00
1.248496994e+04 3.234723706e+00 1.898780412e+00 5.818207175e+00 3.223008732e+00 1.900166623e+00 5.828809103e+00
1.255511022e+04 3.522684725e+00 1.811859191e+00 5.617699715e+00 3.510568351e+00 1.812508681e+00 5.629001108e+00
1.262525050e+04 3.823098915e+00 1.747974408e+00 5.381767408e+00 3.810869480e+00 1.747894741e+00 5.393452266e+00
1.269539078e+04 4.130094403e+00 1.706259096e+00 5.117352965e+00 4.118088809e+00 1.705447378e+00 5.129129321e+00
1.276553106e+04 4.436946952e+00 1.686040589e+00 4.832012902e+00 4.425534459e+00 1.684483068e+00 4.843621886e+00
1.283567134e+04 4.736378907e+00 1.686881987e+00 4.533555684e+00 4.725939464e+00 1.684554266e+00 4.544777443e+00
1.290581162e+04 5.020919419e+00 1.708597330e+00 4.229655233e+00 5.011818807e+00 1.705465259e+00 4.240311748e+00
1.297595190e+04 5.283282541e+00 1.751242733e+00 3.927482767e+00 5.275847357e+00 1.747264047e+00 3.937437836e+00
1.304609218e+04 5.516719472e+00 1.815084617e+00 3.633398859e+00 5.511215037e+00 1.810211462e+00 3.642555654e+00
1.311623246e+04 5.715310838e+00 1.900545332e+00 3.352736845e+00 5.711924588e+00 1.894727818e+00 3.361033634e+00
1.318637275e+04 5.874180191e+00 2.008125912e+00 3.089692545e+00 5.873012119e+00 2.001316829e+00 3.097097184e+00
1.325651303e+04 5.989627220e+00 2.138306109e+00 2.847317310e+00 5.990687750e+00 2.130466890e+00 2.853821129e+00
1.332665331e+04 6.059192261e+00 2.291423056e+00 2.627597724e+00 6.062406892e+00 2.282530952e+00 2.633209346e+00
1.339679359e+04 6.081670572e+00 2.467532289e+00 2.431597159e+00 6.086889900e+00 2.457588547e+00 2.436336649e+00
1.346693387e+04 6.057094673e+00 2.666258301e+00 2.259632242e+00 6.064108088e+00 2.655296903e+00 2.263525876e+00
1.353707415e+04 5.986697264e+00 2.886645716e+00 2.111460326e+00 5.995248609e+00 2.874741941e+00 2.114536111e+00
1.360721443e+04 5.872858301e+00 3.127025885e+00 1.986459596e+00 5.882661988e+00 3.114303677e+00 1.988743606e+00
