time            Cj              Ck              Br              Bs              Ap              Aq             
2.885771543e+03 4.714900598e+00 4.734595361e+00 1.390757146e+00 1.385286790e+00 1.841389084e+00 1.862106031e+00
2.905811623e+03 4.641349374e+00 4.663386345e+00 1.309109107e+00 1.304813061e+00 1.999122734e+00 2.021371654e+00
2.925851703e+03 4.541158645e+00 4.565057406e+00 1.239723933e+00 1.236558619e+00 2.170157075e+00 2.193761808e+00
2.945891784e+03 4.416333970e+00 4.441606370e+00 1.182058141e+00 1.179989824e+00 2.353566395e+00 2.378275864e+00
2.965931864e+03 4.269378442e+00 4.295544512e+00 1.135588249e+00 1.134594533e+00 2.547971931e+00 2.573456363e+00
2.985971944e+03 4.103237182e+00 4.129839083e+00 1.099841255e+00 1.099912164e+00 2.751518020e+00 2.777369973e+00
3.006012024e+03 3.921217986e+00 3.947831669e+00 1.074417693e+00 1.075556409e+00 2.961875355e+00 2.987616503e+00
3.026052104e+03 3.726888694e+00 3.753133028e+00 1.059008185e+00 1.061231450e+00 3.176274793e+00 3.201368906e+00
3.046092184e+03 3.523955373e+00 3.549498613e+00 1.053404388e+00 1.056742601e+00 3.391572511e+00 3.415444386e+00
3.066132265e+03 3.316129348e+00 3.340692918e+00 1.057505116e+00 1.062002096e+00 3.604343350e+00 3.626402655e+00
3.086172345e+03 3.106993484e+00 3.130353159e+00 1.071318175e+00 1.077030557e+00 3.810995729e+00 3.830664033e+00
3.106212425e+03 2.899878921e+00 2.921863648e+00 1.094958245e+00 1.101954429e+00 4.007898897e+00 4.024637629e+00
3.126252505e+03 2.697762455e+00 2.718251139e+00 1.128640885e+00 1.136999454e+00 4.191511930e+00 4.204848809e+00
3.146292585e+03 2.503191929e+00 2.522108634e+00 1.172672508e+00 1.182479997e+00 4.358504322e+00 4.368055995e+00
3.166332665e+03 2.318243470e+00 2.335551496e+00 1.227436017e+00 1.238783907e+00 4.505860078e+00 4.511349135e+00
3.186372745e+03 2.144510349e+00 2.160205678e+00 1.293371624e+00 1.306352414e+00 4.630959974e+00 4.632225276e+00
3.206412826e+03 1.983120103e+00 1.997224641e+00 1.370952348e+00 1.385654606e+00 4.731640633e+00 4.728640628e+00
3.226452906e+03 1.834774143e+00 1.847329140e+00 1.460653794e+00 1.477156075e+00 4.806231528e+00 4.799040964e+00
3.246492986e+03 1.699803053e+00 1.710862963e+00 1.562917951e+00 1.581281577e+00 4.853573696e+00 4.842374705e+00
3.266533066e+03 1.578230666e+00 1.587857644e+00 1.678111205e+00 1.698371964e+00 4.873024782e+00 4.858093626e+00
3.286573146e+03 1.469840890e+00 1.478100018e+00 1.806477272e+00 1.828636248e+00 4.864454932e+00 4.846145821e+00
3.306613226e+03 1.374242486e+00 1.381197750e+00 1.948086478e+00 1.972100386e+00 4.828236826e+00 4.806964148e+00
3.326653307e+03 1.290928419e+00 1.296639427e+00 2.102783681e+00 2.128555255e+00 4.765231442e+00 4.741451564e+00
3.346693387e+03 1.219327817e+00 1.223847171e+00 2.270137962e+00 2.297507155e+00 4.676769204e+00 4.650962773e+00
3.366733467e+03 1.158849623e+00 1.162220881e+00 2.449397981e+00 2.478134869e+00 4.564624550e+00 4.537279959e+00
3.386773547e+03 1.108917939e+00 1.111174076e+00 2.639457384e+00 2.669257771e+00 4.430981004e+00 4.402579531e+00
3.406813627e+03 1.068999636e+00 1.070161905e+00 2.838834574e+00 2.869319262e+00 4.278383873e+00 4.249386783e+00
3.426853707e+03 1.038625055e+00 1.038702194e+00 3.045670769e+00 3.076389299e+00 4.109678500e+00 4.080516336e+00
3.446893788e+03 1.017402821e+00 1.016390538e+00 3.257748805e+00 3.288188170e+00 3.927933866e+00 3.898998016e+00
3.466933868e+03 1.005029757e+00 1.002910454e+00 3.472533540e+00 3.502131915e+00 3.736353506e+00 3.707990106e+00
3.486973948e+03 1.001296739e+00 9.980394547e-01 3.687232494e+00 3.715397515e+00 3.538177930e+00 3.510684050e+00
3.507014028e+03 1.006091200e+00 1.001651787e+00 3.898873134e+00 3.925003723e+00 3.336584576e+00 3.310206591e+00
3.527054108e+03 1.019396811e+00 1.013718351e+00 4.104391485e+00 4.127901740e+00 3.134592204e+00 3.109526160e+00
3.547094188e+03 1.041290599e+00 1.034304121e+00 4.300725437e+00 4.321068869e+00 2.934976502e+00 2.911370232e+00
3.567134269e+03 1.071937661e+00 1.063563219e+00 4.484906059e+00 4.501598332e+00 2.740202587e+00 2.718159246e+00
