time            Cj              shCj            Ck              shCk           
1.761523046e+02 1.902205912e-01 1.902205912e-01 1.902205912e-01 1.902205912e-01
1.767535070e+02 1.900820406e-01 1.900820406e-01 1.900820406e-01 1.900820406e-01
1.773547094e+02 1.899436918e-01 1.899436918e-01 1.899436918e-01 1.899436918e-01
1.779559118e+02 1.898055444e-01 1.898055444e-01 1.898055444e-01 1.898055444e-01
1.785571142e+02 1.896675980e-01 1.896675980e-01 1.896675980e-01 1.896675980e-01
1.791583166e+02 1.895298520e-01 1.895298520e-01 1.895298520e-01 1.895298520e-01
1.797595190e+02 1.893923062e-01 1.893923062e-01 1.893923062e-01 1.893923062e-01
1.803607214e+02 1.892549599e-01 1.892549599e-01 1.892549599e-01 1.892549599e-01
1.809619238e+02 1.891178129e-01 1.891178129e-01 1.891178129e-01 1.891178129e-01
1.815631263e+02 1.889808646e-01 1.889808646e-01 1.889808646e-01 1.889808646e-01
1.821643287e+02 1.888441147e-01 1.888441147e-01 1.888441147e-01 1.888441147e-01
1.827655311e+02 1.887075627e-01 1.887075627e-01 1.887075627e-01 1.887075627e-01
1.833667335e+02 1.885712081e-01 1.885712081e-01 1.885712081e-01 1.885712081e-01
1.839679359e+02 1.884350506e-01 1.884350506e-01 1.884350506e-01 1.884350506e-01
1.845691383e+02 1.882990897e-01 1.882990897e-01 1.882990897e-01 1.882990897e-01
