time            HelperCCj       sHelperCCj      dispC          
4.558316633e+04 9.969285022e+01 1.373318079e+02 1.258550843e+01
4.578757515e+04 9.953099342e+01 1.372792213e+02 1.263854683e+01
4.599198397e+04 9.937195465e+01 1.372266693e+02 1.269151170e+01
4.619639279e+04 9.921573543e+01 1.371741518e+02 1.274440395e+01
4.640080160e+04 9.906233262e+01 1.371216689e+02 1.279722445e+01
4.660521042e+04 9.891173872e+01 1.370692204e+02 1.284997402e+01
4.680961924e+04 9.876394207e+01 1.370168063e+02 1.290265341e+01
4.701402806e+04 9.861892708e+01 1.369644266e+02 1.295526334e+01
4.721843687e+04 9.847667452e+01 1.369120812e+02 1.300780448e+01
4.742284569e+04 9.833716174e+01 1.368597701e+02 1.306027745e+01
4.762725451e+04 9.820036292e+01 1.368074932e+02 1.311268283e+01
4.783166333e+04 9.806624932e+01 1.367552505e+02 1.316502113e+01
4.803607214e+04 9.793478950e+01 1.367030419e+02 1.321729285e+01
4.824048096e+04 9.780594959e+01 1.366508673e+02 1.326949842e+01
4.844488978e+04 9.767969347e+01 1.365987268e+02 1.332163823e+01
4.864929860e+04 9.755598303e+01 1.365466203e+02 1.337371264e+01
4.885370741e+04 9.743477839e+01 1.364945477e+02 1.342572196e+01
4.905811623e+04 9.731603807e+01 1.364425089e+02 1.347766646e+01
4.926252505e+04 9.719971919e+01 1.363905040e+02 1.352954636e+01
4.946693387e+04 9.708577772e+01 1.363385328e+02 1.358136187e+01
4.967134269e+04 9.697416858e+01 1.362865954e+02 1.363311313e+01
4.987575150e+04 9.686484588e+01 1.362346916e+02 1.368480026e+01
5.008016032e+04 9.675776301e+01 1.361828214e+02 1.373642332e+01
5.028456914e+04 9.665287287e+01 1.361309848e+02 1.378798237e+01
5.048897796e+04 9.655012795e+01 1.360791817e+02 1.383947740e+01
5.069338677e+04 9.644948049e+01 1.360274121e+02 1.389090839e+01
5.089779559e+04 9.635088264e+01 1.359756758e+02 1.394227527e+01
5.110220441e+04 9.625428649e+01 1.359239729e+02 1.399357793e+01
5.130661323e+04 9.615964425e+01 1.358723033e+02 1.404481624e+01
5.151102204e+04 9.606690835e+01 1.358206669e+02 1.409599003e+01
5.171543086e+04 9.597603147e+01 1.357690637e+02 1.414709911e+01
5.191983968e+04 9.588696669e+01 1.357174936e+02 1.419814322e+01
5.212424850e+04 9.579966751e+01 1.356659566e+02 1.424912212e+01
5.232865731e+04 9.571408798e+01 1.356144525e+02 1.430003549e+01
5.253306613e+04 9.563018270e+01 1.355629815e+02 1.435088301e+01
5.273747495e+04 9.554790691e+01 1.355115433e+02 1.440166431e+01
5.294188377e+04 9.546721655e+01 1.354601379e+02 1.445237900e+01
5.314629259e+04 9.538806824e+01 1.354087653e+02 1.450302666e+01
5.335070140e+04 9.531041941e+01 1.353574254e+02 1.455360684e+01
5.355511022e+04 9.523422826e+01 1.353061182e+02 1.460411903e+01
5.375951904e+04 9.515945381e+01 1.352548435e+02 1.465456274e+01
5.396392786e+04 9.508605593e+01 1.352036014e+02 1.470493742e+01
5.416833667e+04 9.501399536e+01 1.351523917e+02 1.475524248e+01
5.437274549e+04 9.494323371e+01 1.351012144e+02 1.480547733e+01
5.457715431e+04 9.487373349e+01 1.350500695e+02 1.485564133e+01
5.478156313e+04 9.480545808e+01 1.349989568e+02 1.490573381e+01
5.498597194e+04 9.473837178e+01 1.349478763e+02 1.495575408e+01
5.519038076e+04 9.467243981e+01 1.348968280e+02 1.500570142e+01
5.539478958e+04 9.460762826e+01 1.348458117e+02 1.505557507e+01
5.559919840e+04 9.454390414e+01 1.347948275e+02 1.510537425e+01
5.580360721e+04 9.448123534e+01 1.347438751e+02 1.515509814e+01
5.600801603e+04 9.441959066e+01 1.346929546e+02 1.520474591e+01
5.621242485e+04 9.435893974e+01 1.346420660e+02 1.525431667e+01
5.641683367e+04 9.429925312e+01 1.345912090e+02 1.530380954e+01
